s,x,y,z,tx,ty,tz
89.0,1385.4711,654.3621,238.4740,0.1684,0.9654,0.1989
90.0,1385.5985,655.1212,238.6310,0.1560,0.9672,0.2003
91.0,1385.7162,655.8818,238.7881,0.1434,0.9694,0.1994
92.0,1385.8237,656.6440,238.9436,0.1304,0.9719,0.1960
93.0,1385.9209,657.4077,239.0953,0.1171,0.9747,0.1903
94.0,1386.0074,658.1729,239.2413,0.1034,0.9778,0.1821
95.0,1386.0828,658.9394,239.3798,0.0893,0.9811,0.1714
96.0,1386.1469,659.7072,239.5087,0.0747,0.9846,0.1582
97.0,1386.1993,660.4763,239.6261,0.0597,0.9880,0.1425
98.0,1386.2399,661.2465,239.7301,0.0443,0.9913,0.1242
99.0,1386.2681,662.0179,239.8187,0.0284,0.9942,0.1034
100.0,1386.2838,662.7903,239.8900,0.0120,0.9967,0.0799
101.0,1386.2866,663.5637,239.9419,-0.0048,0.9985,0.0538
102.0,1386.2762,664.3379,239.9727,-0.0220,0.9994,0.0251
103.0,1386.2524,665.1130,239.9802,-0.0396,0.9992,-0.0060
104.0,1386.2147,665.8889,239.9627,-0.0574,0.9976,-0.0396
105.0,1386.1629,666.6656,239.9180,-0.0754,0.9943,-0.0753
106.0,1386.0967,667.4428,239.8444,-0.0935,0.9892,-0.1130
107.0,1386.0158,668.2207,239.7398,-0.1115,0.9820,-0.1522
108.0,1385.9200,668.9991,239.6035,-0.1287,0.9734,-0.1895
109.0,1385.8099,669.7782,239.4370,-0.1449,0.9638,-0.2239
110.0,1385.6858,670.5580,239.2418,-0.1600,0.9535,-0.2555
111.0,1385.5481,671.3386,239.0195,-0.1742,0.9428,-0.2842
112.0,1385.3973,672.1201,238.7715,-0.1875,0.9320,-0.3102
113.0,1385.2337,672.9026,238.4995,-0.1998,0.9213,-0.3336
114.0,1385.0578,673.6862,238.2050,-0.2113,0.9108,-0.3546
115.0,1384.8699,674.4709,237.8895,-0.2221,0.9007,-0.3733
116.0,1384.6706,675.2569,237.5546,-0.2322,0.8911,-0.3898
117.0,1384.4601,676.0442,237.2018,-0.2417,0.8821,-0.4043
118.0,1384.2390,676.8330,236.8327,-0.2505,0.8737,-0.4169
119.0,1384.0076,677.6232,236.4489,-0.2588,0.8660,-0.4278
120.0,1383.7663,678.4150,236.0518,-0.2667,0.8590,-0.4369
121.0,1383.5156,679.2085,235.6431,-0.2741,0.8528,-0.4445
122.0,1383.2558,680.0037,235.2243,-0.2811,0.8473,-0.4506
123.0,1382.9874,680.8007,234.7968,-0.2878,0.8426,-0.4553
124.0,1382.7108,681.5997,234.3624,-0.2941,0.8386,-0.4585
125.0,1382.4265,682.4007,233.9225,-0.3001,0.8354,-0.4605
126.0,1382.1347,683.2038,233.4786,-0.3059,0.8329,-0.4613
127.0,1381.8360,684.0090,233.0319,-0.3111,0.8308,-0.4616
128.0,1381.5311,684.8163,232.5829,-0.3158,0.8290,-0.4614
129.0,1381.2203,685.6257,232.1322,-0.3201,0.8277,-0.4609
130.0,1380.9044,686.4372,231.6805,-0.3239,0.8267,-0.4600
131.0,1380.5839,687.2507,231.2282,-0.3272,0.8261,-0.4587
132.0,1380.2593,688.0664,230.7760,-0.3301,0.8259,-0.4571
133.0,1379.9313,688.8840,230.3244,-0.3325,0.8260,-0.4551
134.0,1379.6004,689.7037,229.8742,-0.3346,0.8265,-0.4527
135.0,1379.2671,690.5255,229.4257,-0.3361,0.8274,-0.4499
136.0,1378.9321,691.3492,228.9796,-0.3373,0.8286,-0.4468
137.0,1378.5959,692.1749,228.5366,-0.3381,0.8302,-0.4432
138.0,1378.2590,693.0026,228.0972,-0.3384,0.8322,-0.4393
139.0,1377.9221,693.8322,227.6619,-0.3383,0.8345,-0.4350
140.0,1377.5858,694.6638,227.2314,-0.3378,0.8371,-0.4303
141.0,1377.2505,695.4974,226.8062,-0.3368,0.8401,-0.4251
142.0,1376.9169,696.3328,226.3870,-0.3354,0.8435,-0.4196
143.0,1376.5855,697.1702,225.9743,-0.3336,0.8472,-0.4136
144.0,1376.2570,698.0094,225.5687,-0.3313,0.8512,-0.4071
145.0,1375.9318,698.8506,225.1708,-0.3285,0.8555,-0.4002
146.0,1375.6105,699.6936,224.7812,-0.3253,0.8602,-0.3927
147.0,1375.2938,700.5384,224.4004,-0.3215,0.8652,-0.3848
148.0,1374.9821,701.3851,224.0291,-0.3173,0.8705,-0.3763
149.0,1374.6761,702.2337,223.6679,-0.3125,0.8761,-0.3672
150.0,1374.3763,703.0840,223.3172,-0.3072,0.8819,-0.3576
151.0,1374.0833,703.9361,222.9778,-0.3013,0.8880,-0.3473
152.0,1373.7977,704.7901,222.6501,-0.2948,0.8944,-0.3364
153.0,1373.5200,705.6458,222.3349,-0.2877,0.9009,-0.3249
154.0,1373.2508,706.5032,222.0326,-0.2800,0.9077,-0.3126
155.0,1372.9907,707.3624,221.7439,-0.2716,0.9146,-0.2996
156.0,1372.7403,708.2233,221.4692,-0.2625,0.9216,-0.2859
157.0,1372.5000,709.0860,221.2094,-0.2527,0.9287,-0.2714
158.0,1372.2706,709.9503,220.9648,-0.2422,0.9358,-0.2560
159.0,1372.0525,710.8164,220.7361,-0.2309,0.9430,-0.2399
160.0,1371.8463,711.6841,220.5239,-0.2188,0.9500,-0.2229
161.0,1371.6526,712.5535,220.3288,-0.2059,0.9569,-0.2050
162.0,1371.4720,713.4245,220.1514,-0.1922,0.9635,-0.1862
163.0,1371.3051,714.2972,219.9921,-0.1776,0.9699,-0.1665
164.0,1371.1523,715.1715,219.8517,-0.1622,0.9759,-0.1459
165.0,1371.0141,716.0474,219.7302,-0.1467,0.9811,-0.1258
166.0,1370.8900,716.9249,219.6264,-0.1313,0.9855,-0.1070
167.0,1370.7798,717.8040,219.5390,-0.1162,0.9892,-0.0895
168.0,1370.6831,718.6847,219.4666,-0.1014,0.9921,-0.0734
169.0,1370.5995,719.5671,219.4080,-0.0870,0.9945,-0.0588
170.0,1370.5285,720.4510,219.3618,-0.0729,0.9963,-0.0455
171.0,1370.4699,721.3366,219.3267,-0.0592,0.9977,-0.0338
172.0,1370.4232,722.2237,219.3013,-0.0459,0.9987,-0.0236
173.0,1370.3881,723.1125,219.2844,-0.0331,0.9993,-0.0148
174.0,1370.3642,724.0029,219.2745,-0.0207,0.9998,-0.0076
175.0,1370.3511,724.8948,219.2704,-0.0088,1.0000,-0.0019
176.0,1370.3484,725.7884,219.2708,0.0027,1.0000,0.0024
177.0,1370.3557,726.6836,219.2742,0.0137,0.9999,0.0051
178.0,1370.3728,727.5804,219.2794,0.0242,0.9997,0.0063
179.0,1370.3991,728.4788,219.2851,0.0343,0.9994,0.0061
180.0,1370.4343,729.3788,219.2899,0.0439,0.9990,0.0043
181.0,1370.4780,730.2803,219.2925,0.0530,0.9986,0.0011
182.0,1370.5299,731.1835,219.2915,0.0616,0.9981,-0.0035
183.0,1370.5896,732.0883,219.2857,0.0699,0.9975,-0.0096
184.0,1370.6566,732.9947,219.2737,0.0776,0.9968,-0.0171
185.0,1370.7307,733.9027,219.2541,0.0849,0.9961,-0.0260
186.0,1370.8113,734.8123,219.2257,0.0917,0.9951,-0.0364
187.0,1370.8983,735.7235,219.1872,0.0980,0.9940,-0.0481
188.0,1370.9907,736.6361,219.1374,0.1028,0.9929,-0.0604
189.0,1371.0867,737.5499,219.0760,0.1055,0.9917,-0.0729
190.0,1371.1845,738.4643,219.0030,0.1061,0.9907,-0.0856
191.0,1371.2820,739.3790,218.9180,0.1046,0.9896,-0.0985
192.0,1371.3772,740.2935,218.8209,0.1011,0.9886,-0.1116
193.0,1371.4682,741.2073,218.7115,0.0954,0.9875,-0.1251
194.0,1371.5531,742.1201,218.5895,0.0877,0.9864,-0.1387
195.0,1371.6298,743.0314,218.4548,0.0779,0.9852,-0.1527
196.0,1371.6965,743.9408,218.3072,0.0660,0.9838,-0.1669
197.0,1371.7510,744.8479,218.1465,0.0519,0.9820,-0.1815
198.0,1371.7915,745.7521,217.9724,0.0357,0.9799,-0.1962
199.0,1371.8160,746.6532,217.7849,0.0172,0.9773,-0.2112
200.0,1371.8226,747.5506,217.5836,-0.0034,0.9740,-0.2265
201.0,1371.8092,748.4440,217.3684,-0.0261,0.9700,-0.2419
202.0,1371.7739,749.3328,217.1390,-0.0510,0.9650,-0.2574
203.0,1371.7148,750.2167,216.8954,-0.0780,0.9589,-0.2729
204.0,1371.6298,751.0953,216.6373,-0.1071,0.9515,-0.2884
205.0,1371.5171,751.9681,216.3644,-0.1380,0.9427,-0.3038
206.0,1371.3746,752.8346,216.0766,-0.1707,0.9323,-0.3189
207.0,1371.2003,753.6945,215.7738,-0.2050,0.9202,-0.3336
208.0,1370.9924,754.5473,215.4556,-0.2406,0.9062,-0.3478
209.0,1370.7490,755.3927,215.1221,-0.2763,0.8908,-0.3606
210.0,1370.4713,756.2308,214.7753,-0.3086,0.8764,-0.3697
211.0,1370.1620,757.0626,214.4190,-0.3375,0.8634,-0.3750
212.0,1369.8242,757.8887,214.0566,-0.3633,0.8521,-0.3768
213.0,1369.4608,758.7099,213.6917,-0.3861,0.8426,-0.3754
214.0,1369.0746,759.5270,213.3281,-0.4062,0.8352,-0.3708
215.0,1368.6688,760.3407,212.9692,-0.4238,0.8298,-0.3630
216.0,1368.2461,761.1518,212.6186,-0.4389,0.8266,-0.3523
217.0,1367.8095,761.9609,212.2800,-0.4518,0.8255,-0.3384
218.0,1367.3619,762.7690,211.9567,-0.4626,0.8260,-0.3220
219.0,1366.9053,763.5769,211.6503,-0.4717,0.8274,-0.3050
220.0,1366.4411,764.3855,211.3611,-0.4791,0.8294,-0.2875
221.0,1365.9709,765.1957,211.0894,-0.4848,0.8321,-0.2695
222.0,1365.4962,766.0085,210.8357,-0.4889,0.8355,-0.2510
223.0,1365.0184,766.8248,210.6003,-0.4912,0.8396,-0.2320
224.0,1364.5391,767.6455,210.3836,-0.4918,0.8443,-0.2126
225.0,1364.0598,768.4717,210.1859,-0.4907,0.8497,-0.1927
226.0,1363.5819,769.3041,210.0077,-0.4879,0.8557,-0.1724
227.0,1363.1070,770.1438,209.8492,-0.4833,0.8622,-0.1517
228.0,1362.6366,770.9917,209.7109,-0.4769,0.8692,-0.1306
229.0,1362.1721,771.8487,209.5932,-0.4689,0.8765,-0.1093
230.0,1361.7145,772.7151,209.4953,-0.4606,0.8830,-0.0900
231.0,1361.2634,773.5898,209.4146,-0.4531,0.8884,-0.0739
232.0,1360.8184,774.4712,209.3481,-0.4464,0.8928,-0.0609
233.0,1360.3788,775.3582,209.2929,-0.4404,0.8963,-0.0510
234.0,1359.9443,776.2493,209.2459,-0.4354,0.8992,-0.0442
235.0,1359.5142,777.1431,209.2041,-0.4311,0.9014,-0.0404
236.0,1359.0881,778.0385,209.1646,-0.4278,0.9030,-0.0397
237.0,1358.6654,778.9339,209.1244,-0.4253,0.9041,-0.0420
238.0,1358.2458,779.8280,209.0805,-0.4238,0.9045,-0.0473
239.0,1357.8285,780.7195,209.0299,-0.4230,0.9044,-0.0558
240.0,1357.4132,781.6070,208.9697,-0.4232,0.9035,-0.0674
241.0,1356.9993,782.4892,208.8969,-0.4241,0.9019,-0.0823
242.0,1356.5864,783.3647,208.8084,-0.4257,0.8993,-0.1004
243.0,1356.1738,784.2322,208.7013,-0.4281,0.8955,-0.1218
244.0,1355.7612,785.0902,208.5726,-0.4310,0.8904,-0.1466
245.0,1355.3479,785.9375,208.4194,-0.4344,0.8836,-0.1748
246.0,1354.9335,786.7727,208.2386,-0.4382,0.8748,-0.2064
247.0,1354.5175,787.5945,208.0273,-0.4422,0.8638,-0.2413
248.0,1354.0993,788.4014,207.7825,-0.4462,0.8502,-0.2794
249.0,1353.6785,789.1923,207.5016,-0.4501,0.8342,-0.3187
250.0,1353.2546,789.9669,207.1850,-0.4537,0.8171,-0.3557
251.0,1352.8272,790.7255,206.8347,-0.4571,0.7992,-0.3902
252.0,1352.3958,791.4682,206.4528,-0.4606,0.7809,-0.4220
253.0,1351.9600,792.1955,206.0411,-0.4641,0.7622,-0.4512
254.0,1351.5195,792.9074,205.6016,-0.4678,0.7435,-0.4779
255.0,1351.0736,793.6042,205.1363,-0.4717,0.7248,-0.5021
256.0,1350.6221,794.2862,204.6471,-0.4759,0.7064,-0.5240
257.0,1350.1646,794.9536,204.1361,-0.4804,0.6883,-0.5435
258.0,1349.7004,795.6067,203.6051,-0.4854,0.6707,-0.5609
259.0,1349.2294,796.2456,203.0562,-0.4908,0.6535,-0.5762
260.0,1348.7509,796.8707,202.4913,-0.4968,0.6369,-0.5895
261.0,1348.2646,797.4822,201.9123,-0.5034,0.6209,-0.6009
262.0,1347.7701,798.0803,201.3213,-0.5106,0.6055,-0.6105
263.0,1347.2669,798.6653,200.7202,-0.5184,0.5907,-0.6183
264.0,1346.7547,799.2374,200.1110,-0.5269,0.5766,-0.6244
265.0,1346.2329,799.7969,199.4955,-0.5361,0.5631,-0.6289
266.0,1345.7011,800.3440,198.8759,-0.5458,0.5504,-0.6318
267.0,1345.1598,800.8797,198.2535,-0.5549,0.5392,-0.6335
268.0,1344.6094,801.4053,197.6298,-0.5636,0.5294,-0.6341
269.0,1344.0507,801.9222,197.0059,-0.5718,0.5213,-0.6335
270.0,1343.4842,802.4317,196.3832,-0.5795,0.5146,-0.6319
271.0,1342.9107,802.9352,195.7630,-0.5869,0.5095,-0.6292
272.0,1342.3307,803.4339,195.1465,-0.5938,0.5061,-0.6255
273.0,1341.7449,803.9293,194.5352,-0.6004,0.5041,-0.6207
274.0,1341.1539,804.4226,193.9302,-0.6067,0.5038,-0.6149
275.0,1340.5584,804.9152,193.3328,-0.6126,0.5051,-0.6080
276.0,1339.9589,805.4085,192.7444,-0.6181,0.5080,-0.5999
277.0,1339.3563,805.9037,192.1663,-0.6232,0.5124,-0.5908
278.0,1338.7510,806.4023,191.5997,-0.6280,0.5185,-0.5804
279.0,1338.1437,806.9055,191.0459,-0.6323,0.5261,-0.5687
280.0,1337.5351,807.4147,190.5063,-0.6361,0.5354,-0.5557
281.0,1336.9258,807.9312,189.9821,-0.6393,0.5461,-0.5413
