s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
61.0000,1381.8233,639.6827,235.1351,0.3686,0.9288,-0.0391,71.4020,1.0000,11.7830,9.5852,1.3316,9.5348,231.2409,242.3454,16638
62.0000,1382.1573,640.5102,235.1060,0.3794,0.9249,-0.0261,71.5282,1.0000,11.6645,9.7762,1.2596,9.5432,231.0304,242.3181,15389
63.0000,1382.5004,641.3349,235.0885,0.3884,0.9214,-0.0132,67.7681,1.0000,11.4723,9.5534,1.2981,9.2890,230.9660,241.8999,14258
64.0000,1382.8507,642.1569,235.0823,0.3954,0.9185,-0.0008,60.0910,0.9861,11.2046,9.1946,1.4177,8.7470,230.9421,241.0767,12855
65.0000,1383.2063,642.9764,235.0870,0.4005,0.9162,0.0112,58.6312,1.0000,10.7466,7.5472,1.4684,8.6401,231.7681,239.5507,11393
66.0000,1383.5653,643.7933,235.1022,0.4037,0.9146,0.0229,57.6894,1.0000,10.4301,8.1216,1.3933,8.5704,231.1288,239.4786,11321
67.0000,1383.9258,644.6079,235.1277,0.4050,0.9137,0.0342,56.8083,1.0000,10.1190,8.1644,1.3382,8.5047,231.1649,239.6307,10751
68.0000,1384.2858,645.4202,235.1630,0.4044,0.9135,0.0452,55.5767,1.0000,10.1190,8.2142,1.2938,8.4120,231.3568,239.7264,10942
69.0000,1384.6435,646.2304,235.2078,0.4019,0.9140,0.0558,52.1875,1.0000,10.1114,8.2557,1.3535,8.1515,231.3869,239.7741,12570
70.0000,1384.9969,647.0386,235.2617,0.3975,0.9152,0.0662,56.1569,1.0000,10.1535,8.0906,1.4110,8.4558,231.5548,239.8046,12140
71.0000,1385.3441,647.8449,235.3244,0.3911,0.9172,0.0762,54.7115,1.0000,10.1571,7.7639,1.4086,8.3463,231.8029,239.8035,12017
72.0000,1385.6832,648.6494,235.3955,0.3827,0.9198,0.0860,49.3580,1.0000,10.1345,7.6910,1.4708,7.9275,231.9272,239.8493,12139
73.0000,1386.0123,649.4523,235.4747,0.3723,0.9232,0.0956,49.1157,1.0000,10.1013,7.4699,1.4697,7.9080,232.1565,240.5662,11408
74.0000,1386.3294,650.2536,235.5615,0.3596,0.9272,0.1049,49.5280,1.0000,9.8037,6.9882,1.4913,7.9411,232.7685,240.6522,11439
75.0000,1386.6326,651.0535,235.6557,0.3447,0.9318,0.1139,51.0462,1.0000,10.2608,6.9496,1.5520,8.0619,232.7799,239.9141,11605
76.0000,1386.9201,651.8520,235.7568,0.3275,0.9369,0.1227,50.5560,1.0000,10.2902,6.7183,1.5654,8.0231,232.9429,239.8373,11419
77.0000,1387.1899,652.6494,235.8645,0.3078,0.9424,0.1312,49.8691,1.0000,10.4140,6.5169,1.5720,7.9684,233.1533,240.1357,10753
78.0000,1387.4400,653.4457,235.9785,0.2856,0.9482,0.1394,51.2366,1.0000,10.9304,6.6150,1.5843,8.0769,233.2815,240.2900,11753
79.0000,1387.6687,654.2410,236.0983,0.2607,0.9541,0.1473,54.9507,1.0000,11.0895,6.6489,1.6254,8.3645,233.4260,240.4280,12646
80.0000,1387.8738,655.0354,236.2237,0.2331,0.9601,0.1548,56.4859,1.0000,11.5754,6.7659,1.7369,8.4806,233.5696,241.1477,11498
81.0000,1388.0536,655.8291,236.3543,0.2027,0.9658,0.1619,58.3364,1.0000,11.8628,7.1236,1.7722,8.6184,233.6598,241.2714,12296
82.0000,1388.2062,656.6222,236.4896,0.1693,0.9710,0.1686,59.9994,1.0000,12.2415,7.2208,1.8414,8.7403,233.7656,241.3377,12261
83.0000,1388.3295,657.4148,236.6294,0.1331,0.9756,0.1747,57.8401,0.9722,12.8926,6.8580,1.9817,8.5816,233.8355,241.3030,11186
84.0000,1388.4223,658.2069,236.7730,0.0962,0.9791,0.1794,62.4175,0.9722,13.5454,7.0263,1.9782,8.9147,233.8754,241.5157,11429
85.0000,1388.4855,658.9985,236.9190,0.0605,0.9815,0.1818,69.7585,1.0000,13.7155,7.2484,1.8337,9.4244,233.8777,241.5487,12655
86.0000,1388.5203,659.7895,237.0657,0.0261,0.9829,0.1822,72.5705,1.0000,13.8185,7.3329,1.7802,9.6125,233.8877,241.5750,14114
87.0000,1388.5279,660.5795,237.2115,-0.0070,0.9836,0.1803,74.7428,1.0000,14.2963,7.4379,1.8377,9.7553,233.8939,241.5688,14986
88.0000,1388.5095,661.3687,237.3547,-0.0387,0.9836,0.1764,77.1152,1.0000,14.7038,7.5034,1.9583,9.9089,233.9174,241.7859,14070
89.0000,1388.4663,662.1567,237.4938,-0.0689,0.9830,0.1703,75.6966,1.0000,15.1669,7.3029,2.0080,9.8173,233.9887,241.9019,14429
90.0000,1388.3996,662.9435,237.6270,-0.0976,0.9819,0.1621,75.2864,1.0000,15.2527,7.0591,1.9938,9.7907,234.0956,241.6457,16356
91.0000,1388.3105,663.7290,237.7529,-0.1248,0.9805,0.1519,77.5838,1.0000,15.7312,7.0401,2.1329,9.9390,234.2078,241.7790,16430
92.0000,1388.2003,664.5129,237.8696,-0.1504,0.9787,0.1396,77.9906,1.0000,16.5937,7.0234,2.3423,9.9650,234.3241,241.7267,15405
93.0000,1388.0702,665.2952,237.9757,-0.1745,0.9767,0.1252,76.9490,1.0000,16.8599,7.0894,2.3108,9.8982,234.4776,242.1748,16686
94.0000,1387.9214,666.0758,238.0694,-0.1971,0.9743,0.1088,74.3023,1.0000,15.9430,7.1922,2.2594,9.7265,234.6399,242.5841,17607
95.0000,1387.7551,666.8544,238.1492,-0.2182,0.9717,0.0903,72.6732,1.0000,15.9472,7.2564,2.3212,9.6193,234.7232,242.4704,18842
96.0000,1387.5726,667.6310,238.2134,-0.2377,0.9688,0.0698,63.5526,1.0000,16.6296,7.6700,2.4078,8.9954,234.8601,241.9289,19336
97.0000,1387.3750,668.4054,238.2603,-0.2556,0.9656,0.0472,76.0350,1.0000,17.6895,7.7651,2.3273,9.8392,234.9327,243.3327,17560
98.0000,1387.1636,669.1774,238.2884,-0.2719,0.9621,0.0226,66.4737,0.9722,16.9060,7.5680,2.3053,9.1998,235.1180,243.3434,15792
99.0000,1386.9396,669.9470,238.2960,-0.2866,0.9580,-0.0040,62.4389,0.9722,16.2980,7.4134,2.3698,8.9163,235.2255,243.2279,14160
100.0000,1386.7043,670.7141,238.2815,-0.2997,0.9535,-0.0325,54.4781,0.9444,15.9178,7.3485,2.4211,8.3285,235.2818,243.3894,12685
