body,feature_id,lat,lon_east_0_360,aperture_long_axis_m,aperture_short_axis_m,inner_long_axis_m,inner_short_axis_m,depth_m,depth_is_minimum,type,source,source_detail,notes
moon,North Procellarum 2 Pit,35.3433,314.3447,175.0,170.0,160.0,155.0,43.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Oceanus Procellarum; type_qualifier=Large Bowl; long_axis_azimuth_deg=180; depth_raw=43
moon,Sinus Iridum Pit,45.623,331.189,145.0,125.0,66.0,32.0,16.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Sinus Iridum; long_axis_azimuth_deg=120; depth_raw=16
moon,Mare Insularum Pit,8.6861,330.9665,315.0,255.0,,159.0,63.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Insularum; long_axis_azimuth_deg=65; depth_raw=63
moon,Mare Moscoviense Pit,29.5025,150.4647,205.0,205.0,175.0,160.0,40.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Moscoviense; type_qualifier=Large Bowl; long_axis_azimuth_deg=170; depth_raw=40
moon,Mare Serenitatis Pit,35.1041,17.4017,60.0,55.0,21.0,17.0,25.0,yes,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Serenitatis; long_axis_azimuth_deg=85; depth_raw=>25
moon,Central Mare Fecunditatis Pit,-0.9182,48.6595,198.0,162.0,122.0,100.0,42.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Fecunditatis; type_qualifier=Large Bowl; long_axis_azimuth_deg=155; depth_raw=42
moon,Southwest Mare Fecunditatis Pit,-6.7521,42.7595,90.0,79.0,19.0,15.0,51.0,,pit (highland),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Fecunditatis; long_axis_azimuth_deg=95; depth_raw=51
moon,Schlüter Pit,-5.8395,276.95,63.0,50.0,37.0,23.0,57.0,,pit (highland),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Schlüter Crater; long_axis_azimuth_deg=130; depth_raw=57
moon,Highland 1,43.9662,23.0836,58.0,49.0,41.0,37.0,27.0,,pit (highland),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Highland; long_axis_azimuth_deg=180; depth_raw=27
moon,Highland 2,41.1563,18.8206,42.0,39.0,34.0,27.0,24.0,yes,pit (highland),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Highland; long_axis_azimuth_deg=175; depth_raw=>24
moon,Highland 3,42.3941,320.3076,66.0,63.0,45.0,41.0,27.0,,pit (highland),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Highland; long_axis_azimuth_deg=35; depth_raw=27
moon,Adams B 1,-31.4121,65.6408,19.0,10.0,10.0,,9.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Adams B; long_axis_azimuth_deg=110; depth_raw=9
moon,Adams B 2,-31.5449,65.7223,21.0,17.0,14.0,,4.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Adams B; long_axis_azimuth_deg=85; depth_raw=4
