s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
122.0,1383.256,680.004,238.710,238.395,0.315,0.532,9.55,1.00,0.021,intact
123.0,1382.987,680.801,238.700,238.056,0.644,0.532,9.34,1.00,0.003,intact
124.0,1382.711,681.600,238.750,238.030,0.720,0.532,9.37,1.00,0.000,intact
125.0,1382.427,682.401,238.700,237.789,0.911,0.532,9.66,1.00,0.000,intact
126.0,1382.135,683.204,238.730,237.369,1.360,0.532,10.23,1.00,0.000,intact
127.0,1381.836,684.009,238.680,237.059,1.621,0.532,10.64,1.00,0.000,intact
128.0,1381.531,684.816,238.670,236.629,2.041,0.532,11.00,1.00,0.000,intact
129.0,1381.220,685.626,238.640,236.551,2.089,0.532,11.20,0.97,0.000,intact
130.0,1380.904,686.437,238.460,236.805,1.655,0.532,11.60,1.00,0.000,intact
131.0,1380.584,687.251,238.030,236.753,1.277,0.532,11.85,0.99,0.000,intact
132.0,1380.259,688.066,238.000,236.484,1.516,0.532,11.94,1.00,0.000,intact
133.0,1379.931,688.884,237.970,236.120,1.850,0.532,12.10,1.00,0.000,intact
134.0,1379.600,689.704,237.930,235.596,2.334,0.532,12.36,1.00,0.000,intact
135.0,1379.267,690.525,237.910,230.446,7.465,0.532,12.10,1.00,0.000,intact
136.0,1378.932,691.349,237.940,230.169,7.771,0.532,11.82,1.00,0.000,intact
137.0,1378.596,692.175,237.930,229.801,8.129,0.532,11.22,1.00,0.000,intact
138.0,1378.259,693.003,237.900,229.236,8.664,0.532,11.11,1.00,0.000,intact
139.0,1377.922,693.832,237.900,232.138,5.762,0.532,10.89,1.00,0.000,intact
140.0,1377.586,694.664,237.850,232.923,4.927,0.532,10.36,1.00,0.000,intact
141.0,1377.251,695.497,237.830,232.233,5.597,0.532,10.24,1.00,0.000,intact
142.0,1376.917,696.333,237.820,231.158,6.662,0.532,9.93,1.00,0.000,intact
143.0,1376.585,697.170,237.820,230.894,6.926,0.532,9.26,1.00,0.000,intact
144.0,1376.257,698.009,237.850,230.490,7.360,0.532,9.33,1.00,0.000,intact
145.0,1375.932,698.851,237.880,230.078,7.802,0.532,9.10,1.00,0.000,intact
146.0,1375.611,699.694,237.820,230.379,7.441,0.532,8.32,1.00,0.000,intact
147.0,1375.294,700.538,237.860,230.253,7.607,0.532,8.13,1.00,0.000,intact
148.0,1374.982,701.385,237.860,229.879,7.981,0.532,8.58,1.00,0.000,intact
149.0,1374.676,702.234,237.930,229.841,8.089,0.532,9.26,1.00,0.000,intact
150.0,1374.376,703.084,237.900,229.682,8.218,0.532,10.02,1.00,0.000,intact
151.0,1374.083,703.936,237.900,229.458,8.442,0.532,10.13,1.00,0.000,intact
152.0,1373.798,704.790,238.000,229.136,8.864,0.532,10.34,1.00,0.000,intact
153.0,1373.520,705.646,238.000,228.678,9.322,0.532,11.10,0.99,0.000,intact
154.0,1373.251,706.503,238.020,228.250,9.770,0.532,11.92,1.00,0.000,intact
155.0,1372.991,707.362,238.040,227.865,10.175,0.532,12.01,1.00,0.000,intact
156.0,1372.740,708.223,238.100,227.515,10.585,0.532,11.48,1.00,0.000,intact
157.0,1372.500,709.086,238.170,227.701,10.469,0.532,12.95,1.00,0.000,intact
158.0,1372.271,709.950,238.220,227.451,10.769,0.532,13.24,1.00,0.000,intact
159.0,1372.053,710.816,238.280,227.194,11.086,0.532,13.24,1.00,0.000,intact
160.0,1371.846,711.684,238.370,226.750,11.620,0.532,12.91,1.00,0.000,intact
161.0,1371.653,712.553,238.490,226.667,11.823,0.532,12.14,1.00,0.000,intact
162.0,1371.472,713.424,238.500,226.983,11.517,0.532,10.95,1.00,0.000,intact
163.0,1371.305,714.297,238.550,227.002,11.548,0.532,10.17,1.00,0.000,intact
164.0,1371.152,715.172,238.690,226.998,11.692,0.532,9.43,1.00,0.000,intact
165.0,1371.014,716.047,238.710,226.880,11.830,0.532,9.15,1.00,0.000,intact
166.0,1370.890,716.925,238.730,226.688,12.042,0.532,8.82,1.00,0.000,intact
167.0,1370.780,717.804,238.830,225.943,12.887,0.532,8.76,1.00,0.000,intact
168.0,1370.683,718.685,238.950,225.878,13.072,0.532,9.23,1.00,0.000,intact
169.0,1370.600,719.567,238.970,225.542,13.428,0.532,9.39,1.00,0.000,intact
170.0,1370.528,720.451,238.970,225.314,13.657,0.532,9.30,1.00,0.000,intact
171.0,1370.470,721.337,238.920,225.010,13.910,0.532,10.07,1.00,0.000,intact
172.0,1370.423,722.224,nan,224.776,nan,0.532,10.10,1.00,0.000,no_dem
173.0,1370.388,723.112,nan,224.779,nan,0.532,10.14,1.00,0.000,no_dem
174.0,1370.364,724.003,nan,224.771,nan,0.532,10.08,1.00,0.000,no_dem
175.0,1370.351,724.895,nan,224.318,nan,0.532,10.02,1.00,0.000,no_dem
176.0,1370.348,725.788,nan,224.177,nan,0.532,10.26,1.00,0.000,no_dem
177.0,1370.356,726.684,nan,223.661,nan,0.532,10.33,1.00,0.000,no_dem
178.0,1370.373,727.580,nan,223.415,nan,0.532,10.43,1.00,0.000,no_dem
179.0,1370.399,728.479,nan,223.232,nan,0.532,10.63,1.00,0.000,no_dem
180.0,1370.434,729.379,nan,223.233,nan,0.532,11.91,1.00,0.000,no_dem
181.0,1370.478,730.280,nan,223.367,nan,0.532,13.06,1.00,0.000,no_dem
182.0,1370.530,731.183,nan,223.434,nan,0.532,13.77,1.00,0.000,no_dem
183.0,1370.590,732.088,nan,223.592,nan,0.532,14.44,1.00,0.000,no_dem
184.0,1370.657,732.995,nan,223.963,nan,0.532,14.97,1.00,0.000,no_dem
185.0,1370.731,733.903,nan,224.415,nan,0.532,16.92,1.00,0.000,no_dem
186.0,1370.811,734.812,nan,224.781,nan,0.532,17.00,1.00,0.000,no_dem
187.0,1370.898,735.723,nan,224.979,nan,0.532,24.49,1.00,0.000,no_dem
188.0,1370.991,736.636,nan,225.249,nan,0.532,25.48,1.00,0.000,no_dem
189.0,1371.087,737.550,nan,225.278,nan,0.532,25.84,1.00,0.000,no_dem
190.0,1371.185,738.464,nan,225.482,nan,0.532,25.47,1.00,0.000,no_dem
191.0,1371.282,739.379,nan,225.659,nan,0.532,10.82,1.00,0.000,no_dem
192.0,1371.377,740.293,nan,225.943,nan,0.532,10.49,1.00,0.000,no_dem
193.0,1371.468,741.207,nan,225.892,nan,0.532,9.83,1.00,0.000,no_dem
194.0,1371.553,742.120,nan,225.850,nan,0.532,9.88,1.00,0.000,no_dem
195.0,1371.630,743.031,nan,225.729,nan,0.532,9.77,1.00,0.000,no_dem
196.0,1371.697,743.941,nan,225.914,nan,0.532,9.82,1.00,0.000,no_dem
197.0,1371.751,744.848,nan,225.747,nan,0.532,9.98,1.00,0.000,no_dem
198.0,1371.792,745.752,nan,225.015,nan,0.532,9.91,1.00,0.000,no_dem
199.0,1371.816,746.653,nan,224.864,nan,0.532,9.61,1.00,0.000,no_dem
200.0,1371.823,747.551,nan,224.908,nan,0.532,9.57,1.00,0.000,no_dem
201.0,1371.809,748.444,nan,224.672,nan,0.532,8.80,1.00,0.000,no_dem
202.0,1371.774,749.333,nan,223.635,nan,0.532,8.31,1.00,0.000,no_dem
203.0,1371.715,750.217,nan,223.416,nan,0.532,8.60,1.00,0.000,no_dem
204.0,1371.630,751.095,nan,223.137,nan,0.532,8.72,1.00,0.000,no_dem
205.0,1371.517,751.968,nan,222.626,nan,0.532,8.72,1.00,0.000,no_dem
206.0,1371.375,752.835,nan,221.994,nan,0.532,8.65,1.00,0.000,no_dem
207.0,1371.200,753.694,nan,221.530,nan,0.532,8.46,1.00,0.000,no_dem
208.0,1370.992,754.547,nan,221.054,nan,0.532,8.66,1.00,0.000,no_dem
209.0,1370.749,755.393,nan,220.602,nan,0.532,8.85,1.00,0.000,no_dem
210.0,1370.471,756.231,nan,220.288,nan,0.532,8.99,1.00,0.000,no_dem
