s,x,y,z,tx,ty,tz
89.0,1386.8545,654.4339,231.0696,0.3162,0.9276,0.1990
90.0,1387.0815,655.1072,231.2180,0.3089,0.9277,0.2095
91.0,1387.3021,655.7802,231.3730,0.2992,0.9290,0.2178
92.0,1387.5144,656.4532,231.5330,0.2873,0.9313,0.2240
93.0,1387.7168,657.1266,231.6963,0.2729,0.9346,0.2281
94.0,1387.9072,657.8007,231.8612,0.2560,0.9389,0.2300
95.0,1388.0840,658.4758,232.0262,0.2366,0.9441,0.2297
96.0,1388.2453,659.1522,232.1895,0.2146,0.9499,0.2272
97.0,1388.3893,659.8304,232.3496,0.1898,0.9563,0.2223
98.0,1388.5143,660.5106,232.5047,0.1622,0.9630,0.2150
99.0,1388.6183,661.1931,232.6532,0.1319,0.9698,0.2052
100.0,1388.6996,661.8784,232.7935,0.0986,0.9763,0.1928
101.0,1388.7564,662.5667,232.9239,0.0625,0.9821,0.1778
102.0,1388.7869,663.2584,233.0427,0.0238,0.9868,0.1601
103.0,1388.7892,663.9538,233.1484,-0.0175,0.9900,0.1399
104.0,1388.7616,664.6532,233.2392,-0.0610,0.9912,0.1171
105.0,1388.7022,665.3571,233.3136,-0.1064,0.9901,0.0919
106.0,1388.6093,666.0656,233.3698,-0.1530,0.9861,0.0646
107.0,1388.4813,666.7792,233.4065,-0.1986,0.9794,0.0368
108.0,1388.3194,667.4980,233.4239,-0.2399,0.9707,0.0109
109.0,1388.1255,668.2222,233.4230,-0.2768,0.9609,-0.0129
110.0,1387.9014,668.9517,233.4048,-0.3095,0.9503,-0.0346
111.0,1387.6491,669.6869,233.3700,-0.3383,0.9395,-0.0543
112.0,1387.3705,670.4277,233.3197,-0.3635,0.9288,-0.0722
113.0,1387.0676,671.1743,233.2547,-0.3854,0.9185,-0.0882
114.0,1386.7422,671.9268,233.1761,-0.4042,0.9089,-0.1025
115.0,1386.3963,672.6853,233.0846,-0.4201,0.9001,-0.1153
116.0,1386.0319,673.4500,232.9812,-0.4335,0.8922,-0.1267
117.0,1385.6507,674.2210,232.8669,-0.4446,0.8852,-0.1367
118.0,1385.2549,674.9983,232.7425,-0.4535,0.8793,-0.1454
119.0,1384.8462,675.7822,232.6089,-0.4604,0.8744,-0.1531
120.0,1384.4267,676.5726,232.4672,-0.4654,0.8706,-0.1596
121.0,1383.9982,677.3698,232.3182,-0.4686,0.8678,-0.1652
122.0,1383.5627,678.1738,232.1628,-0.4702,0.8661,-0.1698
123.0,1383.1220,678.9848,232.0019,-0.4702,0.8654,-0.1735
124.0,1382.6782,679.8029,231.8365,-0.4686,0.8656,-0.1763
125.0,1382.2331,680.6282,231.6675,-0.4655,0.8669,-0.1783
126.0,1381.7887,681.4608,231.4957,-0.4609,0.8691,-0.1796
127.0,1381.3461,682.3005,231.3221,-0.4564,0.8713,-0.1803
128.0,1380.9054,683.1466,231.1471,-0.4524,0.8734,-0.1805
129.0,1380.4665,683.9983,230.9714,-0.4488,0.8753,-0.1803
130.0,1380.0294,684.8547,230.7954,-0.4457,0.8770,-0.1797
131.0,1379.5939,685.7152,230.6197,-0.4430,0.8785,-0.1786
132.0,1379.1599,686.5788,230.4450,-0.4408,0.8800,-0.1772
133.0,1378.7273,687.4448,230.2717,-0.4390,0.8812,-0.1753
134.0,1378.2961,688.3125,230.1003,-0.4376,0.8824,-0.1729
135.0,1377.8661,689.1809,229.9316,-0.4367,0.8834,-0.1702
136.0,1377.4374,690.0494,229.7659,-0.4361,0.8843,-0.1669
137.0,1377.0097,690.9172,229.6039,-0.4360,0.8850,-0.1633
138.0,1376.5830,691.7833,229.4461,-0.4363,0.8856,-0.1592
139.0,1376.1571,692.6471,229.2931,-0.4371,0.8860,-0.1546
140.0,1375.7321,693.5078,229.1454,-0.4382,0.8863,-0.1495
141.0,1375.3079,694.3645,229.0036,-0.4398,0.8865,-0.1439
142.0,1374.8842,695.2165,228.8683,-0.4419,0.8864,-0.1377
143.0,1374.4611,696.0629,228.7400,-0.4443,0.8862,-0.1310
144.0,1374.0384,696.9030,228.6192,-0.4473,0.8858,-0.1237
145.0,1373.6161,697.7360,228.5065,-0.4507,0.8852,-0.1158
146.0,1373.1940,698.5611,228.4024,-0.4545,0.8843,-0.1072
147.0,1372.7724,699.3779,228.3074,-0.4580,0.8835,-0.0985
148.0,1372.3517,700.1869,228.2210,-0.4604,0.8831,-0.0901
149.0,1371.9328,700.9889,228.1428,-0.4619,0.8831,-0.0820
150.0,1371.5164,701.7846,228.0724,-0.4624,0.8835,-0.0743
151.0,1371.1032,702.5747,228.0094,-0.4619,0.8844,-0.0668
152.0,1370.6939,703.3601,227.9533,-0.4603,0.8857,-0.0597
153.0,1370.2893,704.1413,227.9036,-0.4577,0.8875,-0.0530
154.0,1369.8902,704.9193,227.8600,-0.4540,0.8898,-0.0467
155.0,1369.4972,705.6946,227.8219,-0.4492,0.8925,-0.0408
156.0,1369.1111,706.4681,227.7890,-0.4432,0.8957,-0.0353
157.0,1368.7326,707.2405,227.7609,-0.4362,0.8994,-0.0302
158.0,1368.3625,708.0125,227.7370,-0.4279,0.9034,-0.0256
159.0,1368.0015,708.7849,227.7170,-0.4185,0.9079,-0.0214
160.0,1367.6502,709.5584,227.7004,-0.4080,0.9128,-0.0177
161.0,1367.3096,710.3337,227.6868,-0.3962,0.9180,-0.0145
162.0,1366.9802,711.1116,227.6757,-0.3833,0.9236,-0.0118
163.0,1366.6629,711.8928,227.6667,-0.3691,0.9293,-0.0096
164.0,1366.3584,712.6781,227.6594,-0.3538,0.9353,-0.0079
