s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
70.0,1382.366,641.314,236.730,236.752,-0.022,1.470,11.61,1.00,0.000,inconsistent
71.0,1382.600,642.027,236.780,236.739,0.041,1.470,11.48,1.00,0.000,intact
72.0,1382.835,642.736,236.800,235.931,0.869,1.470,11.36,0.99,0.000,intact
73.0,1383.071,643.443,236.820,234.390,2.430,1.470,11.13,1.00,0.000,intact
74.0,1383.307,644.147,236.800,234.361,2.439,1.470,10.48,1.00,0.000,intact
75.0,1383.544,644.848,236.860,234.369,2.491,1.470,10.40,1.00,0.000,intact
76.0,1383.781,645.546,236.870,234.631,2.239,1.470,10.20,1.00,0.000,intact
77.0,1384.018,646.242,236.850,234.651,2.199,1.470,10.07,1.00,0.000,intact
78.0,1384.256,646.936,236.880,234.696,2.185,1.470,10.05,1.00,0.000,intact
79.0,1384.493,647.627,236.920,234.736,2.184,1.470,10.24,1.00,0.000,intact
80.0,1384.731,648.316,237.020,234.734,2.286,1.470,10.16,1.00,0.000,intact
81.0,1384.968,649.003,237.020,234.792,2.228,1.470,10.00,1.00,0.000,intact
82.0,1385.206,649.688,237.100,234.910,2.190,1.470,10.11,1.00,0.000,intact
83.0,1385.443,650.370,237.110,235.595,1.515,1.470,9.93,1.00,0.000,intact
84.0,1385.680,651.051,237.120,235.684,1.436,1.470,9.79,1.00,0.000,intact
85.0,1385.917,651.731,237.260,234.944,2.316,1.470,10.23,1.00,0.000,intact
86.0,1386.153,652.409,237.280,234.902,2.378,1.470,10.30,1.00,0.000,intact
87.0,1386.388,653.085,237.310,234.881,2.429,1.470,10.26,1.00,0.000,intact
88.0,1386.623,653.760,237.320,235.253,2.067,1.470,10.61,1.00,0.000,intact
89.0,1386.854,654.434,237.370,235.421,1.949,1.470,11.10,1.00,0.000,intact
90.0,1387.082,655.107,237.400,235.564,1.836,1.470,11.43,1.00,0.000,intact
91.0,1387.302,655.780,237.530,236.252,1.278,1.470,11.81,1.00,0.000,intact
92.0,1387.514,656.453,237.610,236.409,1.201,1.470,11.93,1.00,0.000,intact
93.0,1387.717,657.127,237.670,236.506,1.164,1.470,12.19,1.00,0.000,intact
94.0,1387.907,657.801,237.880,236.440,1.440,1.470,12.78,0.94,0.000,intact
95.0,1388.084,658.476,238.050,236.483,1.567,1.470,13.77,0.99,0.000,intact
96.0,1388.245,659.152,238.070,236.690,1.380,1.470,14.85,1.00,0.000,intact
97.0,1388.389,659.830,238.200,236.874,1.326,1.470,15.39,1.00,0.000,intact
98.0,1388.514,660.511,238.260,236.798,1.462,1.470,15.17,1.00,0.000,intact
99.0,1388.618,661.193,238.400,236.765,1.635,1.470,15.22,1.00,0.000,intact
100.0,1388.700,661.878,238.480,236.936,1.544,1.470,15.21,1.00,0.000,intact
101.0,1388.756,662.567,238.530,237.088,1.442,1.470,15.16,1.00,0.000,intact
102.0,1388.787,663.258,238.700,236.678,2.022,1.470,15.27,1.00,0.000,intact
103.0,1388.789,663.954,238.760,236.933,1.827,1.470,15.38,1.00,0.000,intact
104.0,1388.762,664.653,238.780,236.953,1.827,1.470,15.98,1.00,0.000,intact
105.0,1388.702,665.357,238.790,237.218,1.572,1.470,16.82,1.00,0.000,intact
106.0,1388.609,666.066,238.790,237.818,0.972,1.470,16.77,1.00,0.000,intact
107.0,1388.481,666.779,238.800,237.864,0.936,1.470,15.86,1.00,0.000,intact
108.0,1388.319,667.498,238.800,237.121,1.679,1.470,16.15,1.00,0.000,intact
109.0,1388.126,668.222,238.820,238.147,0.673,1.470,16.74,1.00,0.000,intact
110.0,1387.901,668.952,238.850,238.573,0.277,1.470,17.29,1.00,0.000,skylight
111.0,1387.649,669.687,238.830,238.542,0.288,1.470,17.22,0.96,0.000,skylight
112.0,1387.370,670.428,238.850,238.703,0.147,1.470,16.25,0.94,0.000,skylight
113.0,1387.068,671.174,238.770,238.647,0.123,1.470,15.74,0.94,0.000,skylight
114.0,1386.742,671.927,238.770,238.492,0.278,1.470,15.97,0.94,0.000,skylight
115.0,1386.396,672.685,238.660,238.150,0.510,1.470,16.03,0.93,0.000,skylight
116.0,1386.032,673.450,238.560,237.836,0.724,1.470,14.69,0.93,0.000,skylight
117.0,1385.651,674.221,238.560,237.456,1.104,1.470,14.51,0.92,0.000,skylight
118.0,1385.255,674.998,238.600,238.345,0.255,1.470,13.82,0.88,0.000,skylight
119.0,1384.846,675.782,238.590,238.352,0.237,1.470,13.60,0.88,0.000,skylight
120.0,1384.427,676.573,238.580,238.276,0.304,1.470,13.63,0.88,0.000,skylight
121.0,1383.998,677.370,238.550,238.095,0.455,1.470,13.14,0.99,0.000,skylight
122.0,1383.563,678.174,238.560,238.063,0.497,1.470,12.31,1.00,0.000,skylight
123.0,1383.122,678.985,238.560,238.239,0.321,1.470,11.44,1.00,0.000,intact
124.0,1382.678,679.803,238.450,235.529,2.921,1.470,10.83,0.93,0.000,intact
