s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
137.0000,1366.8169,711.5095,227.6709,-0.3762,0.9265,-0.0106,79.6561,1.0000,12.7282,9.6882,1.5430,10.0708,223.3645,233.3990,13989
138.0000,1366.4493,712.4394,227.6615,-0.3586,0.9335,-0.0083,81.4318,1.0000,12.9309,9.6214,1.5611,10.1824,223.2392,233.2343,14292
139.0000,1366.1002,713.3765,227.6540,-0.3393,0.9407,-0.0068,79.2028,1.0000,12.9543,9.9419,1.4635,10.0421,222.7151,232.9892,14269
140.0000,1365.7712,714.3208,227.6478,-0.3186,0.9479,-0.0058,78.7862,1.0000,12.3833,9.8129,1.4372,10.0157,222.8199,232.9106,14154
141.0000,1365.4631,715.2721,227.6426,-0.2975,0.9547,-0.0046,74.2374,1.0000,12.1410,9.2128,1.4704,9.7222,223.4460,232.7831,13509
142.0000,1365.1763,716.2300,227.6387,-0.2761,0.9611,-0.0031,68.5413,1.0000,11.4764,8.8839,1.4227,9.3418,223.8057,233.5385,13418
143.0000,1364.9111,717.1942,227.6364,-0.2541,0.9672,-0.0015,59.9351,1.0000,9.9175,8.6787,1.2312,8.7357,223.9610,233.5361,13536
144.0000,1364.6681,718.1642,227.6358,-0.2317,0.9728,0.0005,58.0181,1.0000,9.4375,8.6609,1.2121,8.5948,223.7884,232.7480,13205
145.0000,1364.4478,719.1396,227.6374,-0.2088,0.9780,0.0027,58.5305,1.0000,9.4330,8.8465,1.2657,8.6327,223.6581,232.7377,12681
146.0000,1364.2507,720.1200,227.6412,-0.1853,0.9827,0.0051,59.7804,1.0000,10.0652,8.9549,1.3835,8.7244,223.7000,232.9855,11818
147.0000,1364.0775,721.1048,227.6477,-0.1611,0.9869,0.0078,62.1068,1.0000,10.6670,8.9796,1.3561,8.8925,223.7133,232.9912,11916
148.0000,1363.9288,722.0936,227.6570,-0.1362,0.9906,0.0108,61.3847,1.0000,10.5841,8.8046,1.2935,8.8407,223.8753,232.8813,12649
149.0000,1363.8053,723.0859,227.6695,-0.1106,0.9938,0.0141,59.1552,1.0000,10.5672,8.3968,1.3785,8.6786,223.9374,232.8774,12657
150.0000,1363.7078,724.0809,227.6854,-0.0842,0.9963,0.0177,58.6964,1.0000,10.5621,8.2317,1.3954,8.6449,223.8957,232.6459,12316
151.0000,1363.6372,725.0782,227.7051,-0.0569,0.9981,0.0217,55.9932,1.0000,10.0997,8.0917,1.3456,8.4435,224.0030,232.2253,13059
152.0000,1363.5943,726.0770,227.7288,-0.0287,0.9993,0.0259,54.3258,1.0000,9.6395,8.0068,1.3244,8.3168,224.3548,232.5977,13724
153.0000,1363.5800,727.0764,227.7569,0.0004,0.9995,0.0304,50.6401,1.0000,8.8249,7.7358,1.4259,8.0298,224.6220,232.6073,12020
154.0000,1363.5953,728.0757,227.7898,0.0305,0.9989,0.0353,46.0198,1.0000,8.8869,7.5308,1.4806,7.6547,224.7887,232.4803,11304
155.0000,1363.6412,729.0739,227.8277,0.0616,0.9973,0.0405,49.0950,1.0000,9.3485,7.6056,1.3853,7.9063,224.7876,232.6083,12284
156.0000,1363.7188,730.0699,227.8710,0.0937,0.9945,0.0461,56.2969,1.0000,11.2847,7.8540,1.4417,8.4664,224.7859,232.8445,13199
157.0000,1363.8290,731.0626,227.9201,0.1268,0.9906,0.0521,64.3578,1.0000,13.0845,7.9522,1.6644,9.0522,224.8171,232.9865,12504
158.0000,1363.9727,732.0506,227.9752,0.1605,0.9853,0.0582,68.0586,1.0000,14.2755,8.3708,1.8176,9.3089,224.6334,233.1857,13906
159.0000,1364.1480,733.0332,228.0358,0.1889,0.9800,0.0627,73.2574,1.0000,18.2154,8.5926,1.9232,9.6579,224.5481,233.2517,14693
160.0000,1364.3482,734.0109,228.0999,0.2105,0.9754,0.0652,69.2292,1.0000,19.6506,8.8640,1.9895,9.3886,224.1975,233.1708,16330
161.0000,1364.5667,734.9845,228.1656,0.2253,0.9721,0.0657,60.3745,1.0000,26.5590,8.4563,2.0308,8.7676,224.5765,233.2171,18428
162.0000,1364.7966,735.9555,228.2306,0.2333,0.9703,0.0641,59.4536,1.0000,23.7535,8.1766,1.8370,8.7005,224.9323,233.2826,16100
163.0000,1365.0311,736.9256,228.2931,0.2344,0.9703,0.0604,56.1582,1.0000,10.2994,7.8808,1.4586,8.4559,225.4046,233.5468,13415
164.0000,1365.2631,737.8966,228.3508,0.2284,0.9720,0.0546,55.8382,1.0000,9.8355,7.6278,1.4273,8.4318,225.7829,233.6944,13632
165.0000,1365.4854,738.8703,228.4016,0.2150,0.9755,0.0466,56.2862,1.0000,10.3392,7.4662,1.5042,8.4656,225.8857,233.7423,13843
166.0000,1365.6905,739.8481,228.4431,0.1939,0.9804,0.0362,58.1885,1.0000,10.7120,7.2245,1.5809,8.6074,225.8813,233.6000,12828
167.0000,1365.8705,740.8313,228.4731,0.1648,0.9860,0.0234,59.2489,1.0000,11.3493,7.0915,1.7276,8.6855,225.8792,233.5345,12603
168.0000,1366.0173,741.8202,228.4891,0.1275,0.9918,0.0081,58.7435,1.0000,11.3744,7.2988,1.7019,8.6484,225.9060,233.8017,12499
169.0000,1366.1226,742.8146,228.4886,0.0818,0.9966,-0.0095,55.1662,1.0000,10.6398,8.0673,1.4643,8.3809,225.9636,234.3689,13050
170.0000,1366.1782,743.8127,228.4693,0.0282,0.9992,-0.0294,53.2794,0.9861,10.6323,7.9493,1.5921,8.2363,226.0571,234.5091,12049
171.0000,1366.1766,744.8117,228.4292,-0.0325,0.9982,-0.0511,54.1357,1.0000,10.3856,7.4729,1.4667,8.3023,226.2366,234.5406,12523
172.0000,1366.1115,745.8074,228.3667,-0.0985,0.9924,-0.0740,47.9910,1.0000,10.6630,7.4284,1.3772,7.8169,226.3526,234.0857,13882
173.0000,1365.9786,746.7946,228.2810,-0.1677,0.9810,-0.0974,50.2698,1.0000,10.6720,7.1314,1.4311,8.0003,226.2088,233.4384,13408
174.0000,1365.7759,747.7675,228.1720,-0.2374,0.9639,-0.1204,50.3180,1.0000,10.6714,7.1713,1.4727,8.0042,226.0642,233.3580,13498
175.0000,1365.5065,748.7215,228.0418,-0.2994,0.9439,-0.1390,50.6841,1.0000,30.4923,7.6437,1.8292,8.0332,225.4286,233.2802,13586
176.0000,1365.1809,749.6556,227.8961,-0.3499,0.9245,-0.1515,48.8417,1.0000,31.3089,7.8131,2.0038,7.8859,225.0431,233.0207,14970
177.0000,1364.8098,750.5709,227.7404,-0.3909,0.9066,-0.1590,47.1284,1.0000,31.4171,7.8793,1.9974,7.7463,224.8408,232.8411,15486
178.0000,1364.4016,751.4694,227.5794,-0.4244,0.8908,-0.1624,47.1224,1.0000,31.5976,7.8019,1.9732,7.7458,224.6701,232.5903,12995
179.0000,1363.9631,752.3533,227.4168,-0.4516,0.8773,-0.1624,46.8989,1.0000,31.1965,7.9207,1.8997,7.7275,224.5227,233.9026,12181
180.0000,1363.5001,753.2249,227.2557,-0.4737,0.8662,-0.1594,46.6327,1.0000,29.5489,8.1673,1.5757,7.7055,224.1654,233.0037,11759
181.0000,1363.0172,754.0864,227.0989,-0.4915,0.8572,-0.1537,47.1643,1.0000,8.2005,8.1371,1.1874,7.7493,224.1728,232.3988,10989
182.0000,1362.5184,754.9400,226.9490,-0.5056,0.8504,-0.1456,46.6129,1.0000,8.4770,8.0132,1.1175,7.7039,224.1757,232.2434,10541
183.0000,1362.0070,755.7878,226.8084,-0.5166,0.8455,-0.1353,46.4375,1.0000,8.5106,8.1757,1.1297,7.6893,223.8107,232.1719,11335
184.0000,1361.4862,756.6316,226.6792,-0.5246,0.8425,-0.1227,46.1303,1.0000,8.2769,8.1780,1.1301,7.6639,223.5855,231.8964,11495
185.0000,1360.9587,757.4733,226.5638,-0.5300,0.8412,-0.1078,32.1603,1.0000,8.1068,8.4024,1.2032,6.3990,223.1895,231.6884,11540
186.0000,1360.4271,758.3144,226.4645,-0.5327,0.8415,-0.0905,35.3182,1.0000,8.0214,8.5649,1.2340,6.7059,222.8772,231.5613,12609
