s,x,y,z_ceil_flight1,z_ceil_flight2,dz
254.0000,1320.9736,810.3560,165.0477,164.9915,0.0562
255.0000,1320.1050,810.8300,165.1086,165.0145,0.0940
256.0000,1319.2382,811.3098,165.2903,165.0197,0.2706
257.0000,1318.3745,811.7978,165.3520,165.0134,0.3386
258.0000,1317.5153,812.2961,165.3366,164.9896,0.3470
259.0000,1316.6621,812.8072,165.2536,164.9878,0.2659
260.0000,1315.8167,813.3335,165.2049,165.0114,0.1935
261.0000,1314.9814,813.8778,165.4049,165.2915,0.1134
262.0000,1314.1586,814.4427,165.6402,165.4309,0.2094
263.0000,1313.3512,815.0311,166.0815,166.2632,-0.1817
264.0000,1312.5629,815.6457,167.3653,167.4022,-0.0369
265.0000,1311.7961,816.2875,167.4901,167.4457,0.0444
266.0000,1311.0488,816.9518,167.5807,167.4811,0.0997
267.0000,1310.3173,817.6329,167.5923,167.4812,0.1111
268.0000,1309.5971,818.3253,167.6026,167.4869,0.1158
269.0000,1308.8829,819.0232,167.6176,167.4255,0.1921
270.0000,1308.1688,819.7206,167.5681,167.1324,0.4357
271.0000,1307.4482,820.4108,167.4434,167.1292,0.3142
272.0000,1306.7139,821.0864,167.3669,167.1295,0.2374
273.0000,1305.9580,821.7382,167.2130,167.1304,0.0826
274.0000,1305.1728,822.3551,167.2242,167.1595,0.0646
275.0000,1304.3532,822.9263,167.2180,167.1527,0.0653
276.0000,1303.4979,823.4430,167.2031,167.1301,0.0730
277.0000,1302.6072,823.8960,167.1697,167.0915,0.0781
278.0000,1301.6835,824.2769,167.1119,167.0048,0.1071
279.0000,1300.7312,824.5789,166.6418,166.5185,0.1234
280.0000,1299.7568,824.7976,165.4350,165.2811,0.1539
281.0000,1298.7687,824.9380,165.6617,165.3364,0.3253
282.0000,1297.7741,825.0127,166.0160,165.4796,0.5364
283.0000,1296.7778,825.0338,165.9864,165.4945,0.4920
284.0000,1295.7825,825.0120,166.0212,165.4817,0.5395
285.0000,1294.7898,824.9568,166.0614,165.5573,0.5041
286.0000,1293.8004,824.8763,166.1289,165.5765,0.5524
287.0000,1292.8143,824.7778,166.2391,165.7262,0.5128
288.0000,1291.8315,824.6681,166.4892,165.8276,0.6616
289.0000,1290.8517,824.5533,166.6694,166.4057,0.2637
290.0000,1289.8749,824.4395,167.0248,167.0509,-0.0261
291.0000,1288.9009,824.3330,167.1679,167.2155,-0.0475
292.0000,1287.9300,824.2402,167.1874,167.2987,-0.1114
293.0000,1286.9626,824.1683,167.2139,167.3564,-0.1425
294.0000,1286.0001,824.1252,167.2482,167.3826,-0.1344
295.0000,1285.0448,824.1198,167.2671,167.4200,-0.1530
296.0000,1284.1003,824.1623,167.2870,167.4299,-0.1429
297.0000,1283.1724,824.2638,167.3561,167.5623,-0.2062
298.0000,1282.2692,824.4364,167.3951,167.5940,-0.1989
299.0000,1281.4019,824.6913,167.3991,167.6292,-0.2301
300.0000,1280.5843,825.0374,167.4108,167.6126,-0.2018
301.0000,1279.8306,825.4786,167.4332,167.5971,-0.1639
