s,offset_m,arc_1970_m,envelope_2pct_m,junction
0.0,1.2733001109353748,0.0,0.0,False
10.0,5.449543566991311,8.958801736060982,0.17917603472121965,False
20.0,4.0899548841262465,20.756094238983813,0.41512188477967626,False
30.0,2.1938881396103214,31.63792901828882,0.6327585803657764,False
40.0,3.179973935641438,40.78494005431666,0.8156988010863332,False
50.0,3.830738854474916,52.21190803206758,1.0442381606413518,False
60.0,2.6527808483354307,61.485936929479,1.22971873858958,False
70.0,2.3936107283755983,71.893495930905,1.4378699186181,False
80.0,3.1190583646770755,80.26886600454195,1.605377320090839,False
90.0,5.700857935458412,89.85952767615997,1.7971905535231993,False
100.0,4.764795043740864,100.62998946697238,2.0125997893394474,False
110.0,2.727740395121712,110.30110454777225,2.2060220909554453,False
120.0,4.224704610867427,118.84758571471713,2.3769517142943424,False
130.0,6.676536840861828,127.45113676971901,2.5490227353943804,False
140.0,5.660086857852406,153.40984101672555,3.068196820334511,False
150.0,0.6473132948387025,158.67415855437744,3.173483171087549,True
160.0,2.7077644785115593,168.25648687339597,3.3651297374679197,True
170.0,8.61680987688451,182.77000157844373,3.6554000315688744,True
180.0,6.766256219654804,188.97886803066638,3.7795773606133274,False
190.0,5.740438505770905,198.1958450855292,3.963916901710584,False
200.0,7.568186171910598,206.97273199158408,4.139454639831682,False
210.0,10.549421573902913,215.98394110904812,4.319678822180962,False
220.0,11.637217288051913,226.98269383989773,4.539653876797955,False
230.0,10.934617474977003,238.4200770842161,4.768401541684322,False
240.0,10.508202389829465,243.32895859453086,4.866579171890617,False
250.0,10.142618911653349,252.36085756888352,5.04721715137767,False
260.0,11.077261867133135,261.1203599401684,5.222407198803368,False
270.0,10.937693335168698,284.36942174950786,5.687388434990157,False
280.0,7.1686114627709925,287.2680524153935,5.7453610483078705,False
290.0,3.1625174528727142,292.47116988020036,5.849423397604007,True
300.0,6.339086299951311,306.42950347205885,6.128590069441177,True
