s,z_dem_percellmax,z_dem_geotiff,tau_percellmax,tau_geotiff,class
168.0,173.370,173.327,5.568,5.525,intact
169.0,173.390,173.297,5.021,4.928,intact
170.0,173.460,173.370,4.951,4.861,intact
171.0,173.540,173.491,4.999,4.950,intact
172.0,173.660,173.654,5.574,5.568,intact
173.0,173.780,173.709,6.342,6.271,intact
174.0,173.750,173.711,6.392,6.353,intact
175.0,173.790,173.727,6.510,6.447,intact
176.0,173.820,173.755,6.799,6.734,intact
177.0,173.900,173.880,7.059,7.039,intact
178.0,173.900,173.709,7.310,7.119,intact
179.0,173.970,173.897,6.067,5.994,intact
180.0,174.060,174.025,7.056,7.021,intact
181.0,174.100,174.083,7.701,7.684,intact
182.0,174.150,174.114,7.907,7.871,intact
183.0,174.200,174.168,8.028,7.996,intact
184.0,174.290,174.245,8.394,8.349,intact
185.0,174.350,174.354,8.662,8.666,intact
186.0,174.430,174.352,8.869,8.791,intact
187.0,174.480,174.358,8.994,8.872,intact
188.0,174.630,174.584,7.125,7.079,intact
189.0,174.810,174.746,7.460,7.396,intact
190.0,174.880,174.808,8.639,8.567,intact
191.0,174.920,174.836,8.316,8.232,intact
192.0,174.980,174.967,9.837,9.824,intact
193.0,175.070,175.055,9.915,9.900,intact
194.0,175.120,175.058,8.386,8.324,intact
195.0,175.300,175.212,8.094,8.006,intact
196.0,175.460,175.417,8.493,8.450,intact
197.0,175.480,175.428,9.565,9.513,intact
198.0,175.540,175.493,9.486,9.439,intact
199.0,175.570,175.389,8.595,8.414,intact
200.0,175.570,175.447,8.937,8.814,intact
201.0,175.610,175.557,8.957,8.904,intact
202.0,175.580,175.536,8.219,8.175,intact
203.0,175.640,175.605,8.018,7.983,intact
204.0,175.670,175.523,8.307,8.160,intact
205.0,175.700,175.610,8.438,8.348,intact
206.0,175.720,175.603,7.922,7.805,intact
207.0,175.750,175.716,7.688,7.654,intact
208.0,175.790,175.767,7.811,7.789,intact
209.0,175.830,175.748,7.944,7.862,intact
210.0,175.890,175.885,8.208,8.203,intact
211.0,175.880,175.794,8.169,8.083,intact
212.0,175.970,175.874,7.456,7.360,intact
213.0,176.020,175.971,8.052,8.003,intact
214.0,176.030,175.979,8.020,7.969,intact
215.0,176.080,176.082,7.621,7.623,intact
