s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
0.0000,1374.0513,582.9380,163.7791,0.3216,0.9137,-0.2483,1.1740,0.9444,1.6027,4.0675,2.6903,1.2226,162.4428,166.5968,626
1.0000,1374.3647,583.8561,163.5366,0.3049,0.9225,-0.2366,4.8874,1.0000,3.7062,3.7742,1.8920,2.4946,162.0726,166.3535,2420
2.0000,1374.6606,584.7831,163.3064,0.2867,0.9316,-0.2236,6.1606,1.0000,4.9399,4.3363,1.9629,2.8007,162.1594,167.0663,4889
3.0000,1374.9375,585.7192,163.0898,0.2667,0.9408,-0.2093,9.0590,1.0000,6.1258,4.4049,2.0893,3.3962,162.1148,166.8975,5207
4.0000,1375.1933,586.6647,162.8883,0.2448,0.9501,-0.1934,9.4430,1.0000,7.4767,4.3979,2.3255,3.4675,161.9670,166.6884,3466
5.0000,1375.4263,587.6194,162.7036,0.2208,0.9594,-0.1758,6.2366,1.0000,9.2730,4.8124,3.5810,2.8179,161.3200,167.3423,4998
6.0000,1375.6342,588.5833,162.5375,0.1946,0.9684,-0.1562,8.8518,1.0000,9.9569,4.4636,4.5849,3.3572,160.7830,165.7785,7362
7.0000,1375.8148,589.5560,162.3918,0.1662,0.9769,-0.1347,10.0272,1.0000,9.6922,3.7711,4.5558,3.5731,160.4480,165.2437,9603
8.0000,1375.9658,590.5367,162.2688,0.1355,0.9845,-0.1111,7.2886,0.9861,9.2951,3.5299,4.1536,3.0463,160.1428,163.3770,9174
9.0000,1376.0851,591.5246,162.1704,0.1027,0.9910,-0.0853,7.5708,0.9861,9.1748,3.8280,3.3118,3.1047,159.8535,164.2361,9179
10.0000,1376.1707,592.5183,162.0988,0.0682,0.9960,-0.0576,6.7167,1.0000,8.7585,4.5079,2.5490,2.9244,159.4046,161.5869,9286
11.0000,1376.2212,593.5160,162.0557,0.0326,0.9991,-0.0283,11.3104,1.0000,8.6630,4.9944,1.6666,3.7948,159.1391,165.3406,11380
12.0000,1376.2357,594.5157,162.0426,-0.0034,1.0000,0.0022,29.8458,1.0000,8.9065,5.4683,1.6568,6.1645,158.8218,164.9676,14107
13.0000,1376.2146,595.5153,162.0603,-0.0386,0.9987,0.0332,33.2009,1.0000,9.3480,5.9205,1.9433,6.5017,158.4064,164.8787,13322
14.0000,1376.1592,596.5125,162.1088,-0.0716,0.9954,0.0637,35.1417,1.0000,9.5638,6.1987,2.0148,6.6891,158.1296,164.7510,14193
15.0000,1376.0725,597.5055,162.1873,-0.1011,0.9905,0.0928,35.1181,1.0000,9.7821,6.0574,2.0129,6.6868,158.1493,164.8014,13096
16.0000,1375.9587,598.4933,162.2937,-0.1256,0.9849,0.1195,31.5432,1.0000,10.2402,5.5907,2.2256,6.3374,158.5237,164.6251,11649
17.0000,1375.8233,599.4753,162.4250,-0.1439,0.9793,0.1427,38.0489,1.0000,10.5117,5.5847,2.1275,6.9603,158.6855,164.9299,11740
18.0000,1375.6732,600.4521,162.5776,-0.1550,0.9746,0.1616,40.2577,1.0000,10.5208,6.5381,1.7875,7.1594,158.9137,166.0612,12488
19.0000,1375.5160,601.4250,162.7467,-0.1581,0.9717,0.1757,46.5397,1.0000,11.3109,6.4995,1.7529,7.6978,159.2299,166.3363,13583
20.0000,1375.3598,602.3961,162.9273,-0.1528,0.9709,0.1845,52.8198,1.0000,11.9909,7.0625,1.6904,8.2007,159.5639,167.2591,14249
21.0000,1375.2131,603.3676,163.1137,-0.1391,0.9724,0.1876,60.4133,1.0000,12.5165,7.3573,1.7375,8.7704,159.6563,167.8352,15684
22.0000,1375.0843,604.3415,163.3004,-0.1172,0.9757,0.1849,65.8723,1.0000,13.2426,7.7736,1.8123,9.1581,159.8346,168.3439,17387
23.0000,1374.9813,605.3194,163.4817,-0.0877,0.9803,0.1767,72.4257,1.0000,14.0133,7.6881,1.9561,9.6029,160.1074,168.7231,16371
24.0000,1374.9110,606.3022,163.6521,-0.0519,0.9852,0.1634,76.5691,1.0000,14.9445,7.4986,1.9881,9.8737,160.3692,168.7621,16330
25.0000,1374.8768,607.2893,163.8085,-0.0172,0.9886,0.1493,79.4546,1.0000,15.6242,7.3105,1.9362,10.0581,160.7077,168.9337,16575
26.0000,1374.8755,608.2790,163.9511,0.0139,0.9906,0.1361,78.4681,1.0000,15.2396,7.2121,2.0561,9.9954,161.0061,168.9721,14976
27.0000,1374.9036,609.2701,164.0809,0.0418,0.9914,0.1237,74.6512,1.0000,15.0682,7.1953,2.0363,9.7493,161.1292,169.1070,15109
28.0000,1374.9581,610.2616,164.1987,0.0668,0.9915,0.1120,65.1916,1.0000,14.5305,7.1891,1.8335,9.1107,161.2403,169.0105,16817
29.0000,1375.0363,611.2529,164.3051,0.0892,0.9909,0.1009,55.0486,1.0000,12.8912,7.2718,1.6649,8.3720,161.5089,170.2866,16272
30.0000,1375.1358,612.2433,164.4006,0.1094,0.9899,0.0903,20.4333,1.0000,12.4289,8.2205,1.4829,5.1006,161.6809,170.2627,16376
31.0000,1375.2545,613.2325,164.4859,0.1275,0.9886,0.0803,13.8756,1.0000,11.9226,7.9717,1.7837,4.2032,161.9011,168.8466,14382
32.0000,1375.3903,614.2204,164.5613,0.1438,0.9871,0.0706,16.2298,0.9167,11.5728,7.2102,2.2148,4.5458,162.0336,169.8129,12216
33.0000,1375.5416,615.2066,164.6273,0.1585,0.9854,0.0614,20.4170,1.0000,11.4110,6.3687,2.3278,5.0986,162.2307,168.9284,12827
34.0000,1375.7068,616.1912,164.6841,0.1717,0.9838,0.0524,9.9297,1.0000,10.8176,6.6671,2.0691,3.5557,162.0669,165.3060,12568
35.0000,1375.8845,617.1742,164.7321,0.1835,0.9821,0.0436,22.9606,0.9722,10.5101,7.0863,1.9651,5.4069,161.8554,169.6150,12157
36.0000,1376.0733,618.1554,164.7714,0.1940,0.9804,0.0350,37.0407,1.0000,10.1924,7.7700,1.7281,6.8674,161.5958,169.9656,12129
37.0000,1376.2721,619.1349,164.8022,0.2033,0.9788,0.0266,42.4823,1.0000,10.3466,7.7659,1.5553,7.3546,161.2926,169.8233,14908
38.0000,1376.4796,620.1129,164.8246,0.2115,0.9772,0.0182,49.3021,1.0000,10.5400,7.6736,1.5538,7.9230,160.9225,168.9733,15159
39.0000,1376.6947,621.0894,164.8386,0.2186,0.9758,0.0098,54.5974,1.0000,10.8068,8.2389,1.6250,8.3376,160.3340,169.1041,13953
40.0000,1376.9165,622.0645,164.8443,0.2247,0.9744,0.0014,55.5150,1.0000,10.9503,8.5496,1.6474,8.4074,159.9837,168.9953,13788
41.0000,1377.1439,623.0383,164.8415,0.2300,0.9732,-0.0068,57.2853,1.0000,11.1245,9.0007,1.5023,8.5404,159.7892,169.2563,13317
42.0000,1377.3765,624.0107,164.8308,0.2353,0.9718,-0.0146,58.7659,1.0000,11.4637,9.0323,1.5529,8.6500,159.8402,169.5551,13620
43.0000,1377.6144,624.9819,164.8126,0.2404,0.9704,-0.0217,56.3620,1.0000,12.0300,9.1767,1.5502,8.4713,159.6701,169.5356,13941
44.0000,1377.8573,625.9516,164.7875,0.2455,0.9690,-0.0283,58.0374,1.0000,12.3361,9.3859,1.5437,8.5963,159.4912,169.7213,12888
45.0000,1378.1053,626.9198,164.7562,0.2505,0.9675,-0.0342,60.1604,1.0000,12.1495,9.3737,1.6468,8.7521,159.4835,169.7138,13336
46.0000,1378.3582,627.8866,164.7194,0.2553,0.9660,-0.0394,63.0332,1.0000,12.0110,9.2991,1.5890,8.9586,159.5046,169.5283,14316
47.0000,1378.6160,628.8519,164.6777,0.2601,0.9646,-0.0439,64.7617,0.9861,12.1981,9.1786,1.5666,9.0806,159.6222,169.1909,14564
48.0000,1378.8785,629.8158,164.6319,0.2648,0.9631,-0.0476,70.9089,1.0000,12.4234,9.3285,1.6009,9.5018,159.5742,169.1452,13631
49.0000,1379.1456,630.7782,164.5827,0.2694,0.9617,-0.0506,74.7233,1.0000,12.3778,9.7508,1.5770,9.7540,159.3146,169.3302,14044
50.0000,1379.4173,631.7392,164.5309,0.2739,0.9603,-0.0528,75.1347,1.0000,12.1379,9.5781,1.5577,9.7808,159.5026,170.1458,14520
51.0000,1379.6934,632.6988,164.4773,0.2783,0.9590,-0.0542,74.3029,1.0000,12.2063,9.3935,1.5142,9.7265,159.8215,170.4982,14836
52.0000,1379.9738,633.6571,164.4229,0.2825,0.9577,-0.0546,72.8931,1.0000,12.2823,9.5032,1.4578,9.6338,160.5469,170.4520,15781
53.0000,1380.2584,634.6142,164.3683,0.2867,0.9565,-0.0542,63.2101,1.0000,12.3936,9.2169,1.5524,8.9712,160.6873,170.3970,15900
54.0000,1380.5471,635.5702,164.3147,0.2907,0.9554,-0.0529,50.2935,0.9444,12.3880,8.8486,1.7181,8.0022,160.8770,170.3440,14138
55.0000,1380.8397,636.5250,164.2628,0.2945,0.9543,-0.0506,47.8815,0.9444,12.3122,8.8668,1.6717,7.8080,160.8835,171.2623,14998
56.0000,1381.1360,637.4788,164.2138,0.2982,0.9533,-0.0473,67.7719,0.9861,12.0830,9.5665,1.4809,9.2892,160.7178,171.2330,15584
57.0000,1381.4360,638.4317,164.1685,0.3018,0.9524,-0.0430,72.3227,1.0000,12.0217,9.6555,1.3663,9.5960,160.6043,171.1940,15550
