s,width_lidar_m,width_1970_m,ratio_1970_over_lidar,usable
0.0,1.6027,8.266666666666667,nan,False
1.0,3.7062,8.266666666666667,nan,False
2.0,4.9399,8.266666666666667,nan,False
3.0,6.1258,8.266666666666667,nan,False
4.0,7.4767,8.266666666666667,nan,False
5.0,9.273,8.266666666666667,nan,False
6.0,9.9569,8.355555555555556,0.839172388550207,True
7.0,9.6922,8.355555555555556,0.8620907075334348,True
8.0,9.2951,8.355555555555556,0.8989204586885086,True
9.0,9.1748,7.822222222222222,0.8525768651329971,True
10.0,8.7585,7.822222222222222,0.8931006704598073,True
11.0,8.663,7.733333333333333,0.8926853668859902,True
12.0,8.9065,7.733333333333333,0.8682797208031588,True
13.0,9.348,8.0,0.8557980316645271,True
14.0,9.5638,8.0,0.8364875886154038,True
15.0,9.7821,8.8,0.8996023348769693,True
16.0,10.2402,8.8,0.8593582156598505,True
17.0,10.5117,10.133333333333333,0.9640051878700242,True
18.0,10.5208,10.133333333333333,0.9631713684637416,True
19.0,11.3109,11.911111111111111,1.0530648410923191,True
20.0,11.9909,11.911111111111111,0.9933458798848386,True
21.0,12.5165,13.066666666666666,1.0439553123210694,True
22.0,13.2426,13.066666666666666,0.9867145928040315,True
23.0,14.0133,13.244444444444444,0.9451338688563325,True
24.0,14.9445,13.244444444444444,0.8862420585797078,True
25.0,15.6242,13.244444444444444,0.8476878460621627,True
26.0,15.2396,12.622222222222222,0.8282515434934133,True
27.0,15.0682,12.622222222222222,0.8376728622013394,True
28.0,14.5305,11.733333333333333,0.8074968743906495,True
29.0,12.8912,11.733333333333333,0.9101816226056018,True
30.0,12.4289,10.666666666666666,0.8582148594539071,True
31.0,11.9226,10.666666666666666,0.8946594422916702,True
32.0,11.5728,10.488888888888889,nan,False
33.0,11.411,10.488888888888889,nan,False
34.0,10.8176,10.488888888888889,nan,False
35.0,10.5101,10.755555555555556,1.0233542550076171,True
36.0,10.1924,10.755555555555556,1.0552524975035866,True
37.0,10.3466,10.933333333333334,1.0567078396123686,True
38.0,10.54,10.933333333333334,1.0373181530676787,True
39.0,10.8068,10.666666666666666,0.9870328558561892,True
40.0,10.9503,10.666666666666666,0.9740981221214638,True
41.0,11.1245,10.666666666666666,0.9588445922663191,True
42.0,11.4637,10.4,0.9072114587785794,True
43.0,12.03,10.4,0.8645054031587698,True
44.0,12.3361,10.755555555555556,0.8718764889677901,True
