s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
0.0,1374.051,582.938,168.440,166.597,1.843,1.480,1.60,0.94,0.000,intact
1.0,1374.365,583.856,168.440,166.353,2.087,1.480,3.71,1.00,0.000,intact
2.0,1374.661,584.783,168.580,167.066,1.514,1.480,4.94,1.00,0.000,intact
3.0,1374.938,585.719,168.760,166.898,1.862,1.480,6.13,1.00,0.000,intact
4.0,1375.193,586.665,169.060,166.688,2.372,1.480,7.48,1.00,0.000,intact
5.0,1375.426,587.619,169.160,167.342,1.818,1.480,9.27,1.00,0.000,intact
6.0,1375.634,588.583,169.200,165.779,3.421,1.480,9.96,1.00,0.000,intact
7.0,1375.815,589.556,169.390,165.244,4.146,1.480,9.69,1.00,0.000,intact
8.0,1375.966,590.537,169.590,163.377,6.213,1.480,9.30,0.99,0.000,intact
9.0,1376.085,591.525,169.700,164.236,5.464,1.480,9.17,0.99,0.000,intact
10.0,1376.171,592.518,169.750,161.587,8.163,1.480,8.76,1.00,0.000,intact
11.0,1376.221,593.516,169.810,165.341,4.469,1.480,8.66,1.00,0.000,intact
12.0,1376.236,594.516,169.860,164.968,4.892,1.480,8.91,1.00,0.000,intact
13.0,1376.215,595.515,169.970,164.879,5.091,1.480,9.35,1.00,0.000,intact
14.0,1376.159,596.513,170.170,164.751,5.419,1.480,9.56,1.00,0.000,intact
15.0,1376.072,597.505,170.380,164.801,5.579,1.480,9.78,1.00,0.000,intact
16.0,1375.959,598.493,170.320,164.625,5.695,1.480,10.24,1.00,0.000,intact
17.0,1375.823,599.475,170.360,164.930,5.430,1.480,10.51,1.00,0.000,intact
18.0,1375.673,600.452,170.410,166.061,4.349,1.480,10.52,1.00,0.000,intact
19.0,1375.516,601.425,170.450,166.336,4.114,1.480,11.31,1.00,0.000,intact
20.0,1375.360,602.396,170.500,167.259,3.241,1.480,11.99,1.00,0.000,intact
21.0,1375.213,603.368,170.490,167.835,2.655,1.480,12.52,1.00,0.000,intact
22.0,1375.084,604.341,170.500,168.344,2.156,1.480,13.24,1.00,0.000,intact
23.0,1374.981,605.319,170.500,168.723,1.777,1.480,14.01,1.00,0.000,intact
24.0,1374.911,606.302,170.500,168.762,1.738,1.480,14.94,1.00,0.000,intact
25.0,1374.877,607.289,170.560,168.934,1.626,1.480,15.62,1.00,0.000,intact
26.0,1374.876,608.279,170.590,168.972,1.618,1.480,15.24,1.00,0.000,intact
27.0,1374.904,609.270,170.460,169.107,1.353,1.480,15.07,1.00,0.000,intact
28.0,1374.958,610.262,170.490,169.011,1.480,1.480,14.53,1.00,0.000,intact
29.0,1375.036,611.253,170.520,170.287,0.233,1.480,12.89,1.00,0.000,skylight
30.0,1375.136,612.243,170.120,170.263,-0.143,1.480,12.43,1.00,0.000,skylight
31.0,1375.255,613.232,nan,168.847,nan,1.480,11.92,1.00,0.000,no_dem
32.0,1375.390,614.220,nan,169.813,nan,1.480,11.57,0.92,0.000,no_dem
33.0,1375.542,615.207,nan,168.928,nan,1.480,11.41,1.00,0.000,no_dem
34.0,1375.707,616.191,nan,165.306,nan,1.480,10.82,1.00,0.000,no_dem
35.0,1375.884,617.174,170.360,169.615,0.745,1.480,10.51,0.97,0.000,skylight
36.0,1376.073,618.155,170.560,169.966,0.594,1.480,10.19,1.00,0.000,skylight
37.0,1376.272,619.135,170.600,169.823,0.777,1.480,10.35,1.00,0.000,intact
38.0,1376.480,620.113,170.540,168.973,1.567,1.480,10.54,1.00,0.000,intact
39.0,1376.695,621.089,170.580,169.104,1.476,1.480,10.81,1.00,0.000,intact
40.0,1376.917,622.064,170.560,168.995,1.565,1.480,10.95,1.00,0.000,intact
41.0,1377.144,623.038,170.560,169.256,1.304,1.480,11.12,1.00,0.000,intact
42.0,1377.377,624.011,170.620,169.555,1.065,1.480,11.46,1.00,0.000,intact
43.0,1377.614,624.982,170.550,169.536,1.014,1.480,12.03,1.00,0.000,intact
44.0,1377.857,625.952,170.560,169.721,0.839,1.480,12.34,1.00,0.000,intact
