Name,Terrain,Type,Host Feature,Latitude,Longitude_180,Longitude_360,Funnel Max Diam,Funnel Min Diam,Inner Max Diam,Inner Min Diam,Azimuth,Depth,Depth_Num,Depth1,Depth2,Depth3,Image 1,Image 1 Line,Image 1 Sample,Inc 1,Em 1,Time 1,Res 1,Image 2,Inc 2,Em 2,Time 2,Res 2,Image 3,Inc 3,Em 3,Time 3,Res 3,Stereo IDs,DTM,Other Useful Images,Warnings,Description,Entrance Ramp?,Overhangs?,Nearby Pits?,Nearby Fractures?,Nearby Depressions?,In Dome?,Beside Dome?,In Depression?,Colinear Pits?,Colinear depressions?,Colinear Fractures?
Copernicus 1,Impact Melt,,Copernicus,9.9277,-19.2545,340.7455,31,25,11,9,180,8,8,6.9,11.8,6.5,M122339925R,18592,288,-26.35,0.17,13.67,0.43,M186012733L,-12.29,1.08,12.6,1.26,M137672132L,-33.32,1.68,14.1,0.49,N/A,,,"Depth 2 is a very low-res, high-Sun image.  All depths are from W wall, although a depth from a similar incidence angle and resolution, but from the E wall, gave a depth similar to Depth 2 (M1149637879L).","Elliptical pit in a semi-circular funnel; long axes of both are oriented ~N-S. Floor is flat and featureless, walls are vertical.  No obvious other depressions in the area.",N,?,N,N,Y?,N,N,N,N,N,N
Copernicus 2,Impact Melt,,Copernicus,9.9308,-19.2704,340.7296,31,30,9,6,40,14,14,>13.5,13.1,15.1,M122339925L,18881,4057,-26.33,0.8,13.67,0.43,M186012733L,-12.28,1.31,12.6,1.26,M1147282262R,-16.57,-2.22,12.95,1.19,N/A,,,Both images with visible floor are very low-res and high-Sun.,Tiny diamond-shaped pit in a giant funnel.  Floor might be peaked in the middle from the shape of the shadow in the one lighting angle we can see it in.  N-S trending linear depression ~120m E.,N,?,N,N,Y,N,N,N,N,N,N
Copernicus 3,Impact Melt,,Copernicus,9.9929,-19.2851,340.7149,36,36,13,10,60,7,7,5.1,9.1,6.4,M122339925L,22295,3089,-26.34,1.38,13.67,0.43,M186012733L,-12.31,1.53,12.6,1.26,M137672132L,-33.31,2.79,14.1,0.49,N/A,,M1111940683L ,"Depth 2 is from a very high-Sun, low-res image. Nearby high-albedo terrain makes it hard to get a good stretch that reveals the shadow length- a naÃ¯ve stretch gives a depth of ~23m, and a larger shadow that lower-Sun images show.  The stretch used only measures the very darkest pixels of the shadow.","Irregular pit.  NE wall/corner appears to be a ramp from rim to SW wall.  There are a couple ~120m circular depressions in a line to the NW, but they could easily be very degraded impact craters.",Y,?,N,N,N?,N,N,N,N,N?,N
Copernicus 4,Impact Melt,,Copernicus,10.3288,-20.3794,339.6206,71,128,89,49,35,24,24,19.9,25.9,26.3,M188378781L,40138,3433,20.43,-1.22,10.77,1.27,M1175545925L,-42.78,1.4,14.81,1.18,M1147289388R,-16.69,-1.55,12.95,1.2,"M135324446L,M135317661R",,M157730473L ,"Depth 1 is from E rim to very close to E rim, Depth 2 is from E rim to center, Depth 3 is from W rim to very near W rim.","Enormous semicircular pit. Floor along the arc of the semicircle (SE wall) contains ~10 6-13m angular boulders, remainder of floor is reasonably smooth (some ~40cm rocks visible, a small cluster of 2-5m boulders under the W rim.  Stereo shows that floor slopes down towards center of W wall.  E wall and southern end of W wall have no overhang, center of W wall has at least 3m overhang, although there is no evidence that it goes any deeper than that.  No other depressions or PRFs in the immediate vicinity, although there's a similarly wide sinuous collapse a kilometer or so S.",N,N?,N,N,N,N,N,N,N,N,N
Copernicus 5,Impact Melt,,Copernicus,9.0159,-20.2549,339.7451,35,28,13,7,40,10,10,9.3,9.5,10.6,M1164945337R,3320,1442,15.04,0.54,11.24,1.1,M183660970L,-37.26,2.67,14.44,1.26,M186019864R,-11.69,-0.31,12.6,1.25,N/A,,M150653709L ,,Roundish pit in a fairly deep funnel.  No particular features of note nearby.,N,?,N,N,N,N?,Y,N,N,N,N
Copernicus 6a,Impact Melt,,Copernicus,10.1053,-20.005,339.995,55,30,10,9,150,11,11,8.9,12.2,12.8,M142394466R,980,4246,25.24,2.16,10.5,0.49,M1103695396L,17.29,-0.91,11.12,1.21,M109365462L,11.94,-0.88,11.82,0.52,"M144755352L,M144748567L",,M168333206L ,All depths are from very high Sun,"Larger and northernmost of a linear pair (triplet?) of pits at the north end of a subtle linear depression (>300m long).  This pit is triangular, with the longest side(?) parallel to the line of the pits.  Both pits are within a larger linear collapse (pit?) and are only distinguishable as distinct pits at the very highest Sun angles (funnel measurements for both are for the enclosing depression).  Copernicus 6a is ~4m NW of Copernicus 6b, and there is another collapse just SE of 6b (although it might just be walls of the surrounding depression).  There are no other pits in the immediate vicinity.",N,?,Y,N,Y,N,Y,Y,N,N,N
Copernicus 6b,Impact Melt,,Copernicus,10.1048,-20.0048,339.9952,55,30,10,8,145,13,13,>12.8,14.4,11.9,M142394466R,1004,4230,25.24,2.16,10.5,0.49,M1103695396L,17.29,-0.91,11.12,1.21,M109365462L,11.93,-0.88,11.82,0.52,"M144755352L,M144748567L",,M168333206L ,"All depths are from very high Sun.  Inner pit is mesured along diagonals, not rectilinearly.","Smaller and southern of the Copernicus 6a pair.  Roughly rectangular, with one of the diagonals (measured as max diameter) running parallel to the line of the pits.",N,?,Y,N,Y,N,Y,Y,N,N,N
Copernicus 7,Impact Melt,,Copernicus,10.0763,-19.9731,340.0269,26,24,6,4,45,>21,21,>21,>19.6,>20.9,M1103695396L,22972,3165,17.25,-1.38,11.13,1.21,M1177898186R,-16.18,-0.24,12.91,1.17,M109365462L,11.9,-1.98,11.82,0.52,"M144755352L,M144748567L",,M168333206R ,All depths are from very high Sun,"Round pit in a linear, round-bottomed 37m-wide depression.  This depression has some very shallow cliffs at the rim in most places, and runs >300m NW, and terminates in a ~70m wide round-bottomed depression ~150m SE.  The pit is in the middle of a set of collapses, and the central pit is only visible in the highest-Sun images (the floor is never visible).  There is a tiny depression, with a bit of shadow visible at even 11 degrees incidence, 18m NE (outside the linear depression).  There is a rounded mound (ooze dome?) ~180m NE.",N,?,Y?,N,Y,N,N,Y,N,N,N
Copernicus 8,Impact Melt,,Copernicus,10.1462,-20.0627,339.9373,70,50,57,21,130,12,12,13.2,>4.6,9.8,M1177898186L,47635,3453,-16.14,1.21,12.9,1.18,M104648293R,-51.59,-1.52,15.38,1.26,M1136683665L,39.85,-1.68,9.42,1.15,"M144755352R,M144748567R",,,,"Linear pit at the SSE end of a sinuous/linear depression (~40m wide).  The pit itself is not very pit-like- There is a long wall parallel to the depression on the NE, and a short wall perpendicular to the SSE, but the other sides are just slopes running down to a deepest point near the center of the long wall.  ~200m north of Copernicus XX. There are some hints that whatever features caused the depression forked here, as there are two very subtle possible depressions to the SSE, one of which houses Copernicus 9 (~200m S)",Y,N,Y,N,Y,N,N,Y,N,N,N
Copernicus 9,Impact Melt,,Copernicus,10.1385,-20.0613,339.9387,31,22,10,7,140,12,12,12.5,12.4,10.5,M109365462R,8310,2346,11.98,1.06,11.81,0.52,M1103695396R,17.36,-0.11,11.12,1.21,M1101338216L,-18.09,0.37,12.93,1.22,"M144755352R,M144748567R",,,All depths are from very high Sun,"Round pit in a deep local depression in a NNW-SSE trending linear depression.  ~200m S of Copernicus 8, which is in an adjacent depression.  NW wall seems to be a slope to floor level.  Floor appears fairly clear, but is usually in shadow from deep outer depression/funnel.",Y,?,Y,N,Y,N,N,Y,N,N,N
Copernicus 10,Impact Melt,,Copernicus,10.1083,-20.0544,339.9456,N/A,45,38,11,145,23,23,25.4,22.5,20.8,M109365462R,9987,1914,11.95,0.81,11.81,0.52,M1103695396R,17.33,-0.19,11.12,1.21,M1101338216R,-18.08,0.29,12.93,1.21,"M144755352R,M144748567R",,,No good shadows when Sun is in the East.,Triangular pit in a NNW-SSE trending linear depression.  SE wall is a nearly-traversable slope to pit floor.,Y?,?,N,N,Y,N,N,Y,N,Y,N
Copernicus 11,Impact Melt,,Copernicus,9.9726,-19.2716,340.7284,28,23,8,4,130,11,11,10.7,9.6,14,M122339925L,21178,4027,-26.35,0.83,13.67,0.43,M137672132L,-33.32,2.3,14.1,0.49,M186012733L,-12.31,1.33,12.6,1.26,N/A,,M1149637879L,U3 is very high-Sun and low-resolution,Irregular pit in a probable N-S trending depression.  Some other linear depressions running parallel?  Cannot tell for certain if there is a visible floor- possibly in NE corner in M122339925L and M186012733L.,N?,?,N,N,Y?,N?,N,Y?,N,N,N
Copernicus 12,Impact Melt,,Copernicus,9.5539,-19.2749,340.7251,40,30,15,10,130,18,18,>15.3,18.9,16.6,M137672132L,34601,1469,-33.19,2.33,14.1,0.49,M1149637879L,16.17,-3,11.08,1.21,M1147282262R,-16.38,-2.33,12.95,1.19,N/A,,M1111940683L,,Trapezoidal pit with a fairly large funnel.  Floor may be rough (only really visible in one low-res image).  No particular features of note nearby.,N,?,N,N,N,N,Y,N,N,N,N
Copernicus 13a,Impact Melt,,Copernicus,10.1857,-20.1273,339.8727,123,68,14,6,120,11,11,8.8,11.8,13.8,M155369774R,38160,1628,-9.71,-0.63,12.29,0.43,M1103695396R,17.44,0.91,11.12,1.21,M1177898186L,-16.11,2.23,12.9,1.18,"M153014813R,M153008029R",,,,"Irregular pit in a double depression; northwesternmost of a pair of pits.  NW bowl has no pit, SE bowl has pit, both are included in funnel measure.  Rocky floor, no ramp in.  Copernicus 13b is ~250m SE, and is aligned with the two depressions of 13a and an additional depression NW of 13b.  There is no linear depression between 13a and 13b, and the entire area is very flat.  Both are roughly in line with Copernicus 21, ~650m WNW.  ",N,?,Y,N,N,N,N,N?,Y,Y,N
Copernicus 13b,Impact Melt,,Copernicus,10.1799,-20.1189,339.8811,25,25,5,5,145,5,5,3.5,5.4,7.3,M155369774R,37835,2217,-9.7,-0.97,12.29,0.43,M1103695396R,17.43,0.79,11.12,1.21,M1177898186L,-16.11,2.1,12.9,1.18,"M153014813R,M153008029R",,,"Very small shadows, very high Sun","Triangular pit(?) (possibly just some outcrops near the bottom of a deep (>8m) depression), ~250m SW of Copernicus 13, and ~25m SW of a similarly-sized depression with no steep walls.  Possibly drivable slope from the N, although resolution is poor enough that this is uncertain.",Y?,?,Y,N,N,N,N,N?,Y,Y,N
Copernicus 14,Impact Melt,,Copernicus,10.2215,-20.0959,339.9041,N/A,40,20,7,60,17,17,12.2,15.9,21.7,M109365462R,3710,4398,12.07,2.27,11.81,0.52,M1103695396R,17.44,0.43,11.12,1.21,M1177898186L,-16.15,1.76,12.9,1.18,"M1106059896L,M1106045604L",,,"Depth3 is from W rim, largely outside the funnel, others are from S rim inside funnel.",Linear pit at the SW end of a linear depression. Floor may slope down from NE to SW. Tiny pit-like dark spot (~1-2m) 3m S.  There is a deeper section of the depression with vertical sidewalls ~50m NE. No other features of note nearby. ~400m N of Copernicus 23.,N,Y?,N,N,Y,N,N,Y,N,N,N
Copernicus 16,Impact Melt,,Copernicus,9.4838,-19.8384,340.1616,115,96,73,71,90,15,15,15.1,15,,M107006443R,36492,1338,-26.43,-0.49,13.62,1.33,M1131971116R,-19.4,-2.45,13.07,1.14,,,,,,"M1206153124L,M1206139057L",,"M193089462R, M114084316L",Only two images show shadow from west inner rim.,"Semicircular pit.  East wall (curved) is a smooth ~18-23 degree slope to base of west wall. Cannot tell for certain if there is any overhang, but low-Sun slew towards W wall shows a lot of wall and not lit floor; any overhang is ~<5m high and <25m deep.  West vertical wall is 15m high, total depth including funnel is ~25m",Y,N?,N,N,N,N,N,N,N,N,N
Copernicus 17a,Impact Melt,,Copernicus,10.2403,-20.3987,339.6013,N/A,30,25,15,170,7,7,6.4,7.5,6.5,M1147289388R,31933,2688,-16.62,-1.3,12.94,1.2,M188378781L,20.41,-0.96,10.77,1.27,M1175545925L,-42.75,1.65,14.81,1.18,"M135324446L,M135317661L",,M157730473R,"Depths 1 and 3 are from W outer wall, Depth 2 is from E inner wall.","Linear pit in a linear series of rounded depressions.  N wall appears to be a slope to the S end, where there is a deeper drop-off along SW wall (Copernicus 17b).  There is a deep vertical-walled linear depression running parallel ~260m E, and a deep non-pit depression in the same series of shallow depressions ~270m S.",Y,?,N,N,Y,N,N,Y,N,Y,N
Copernicus 17b,Impact Melt,,Copernicus,10.2401,-20.3988,339.6012,10,3,10,3,160,>10,10,>10,>7.8,>7.8,M1147289388R,31915,2686,-16.62,-1.3,12.94,1.2,M188378781L,20.41,-0.96,10.77,1.27,M1175545925L,-42.75,1.65,14.81,1.18,"M135324446L,M135317661L",,M157730473R,,Inner pit of Copernicus 17a.,N,?,N,N,Y,N,N,Y,N,Y,N
Copernicus 18,Impact Melt,,Copernicus,10.2933,-20.4019,339.5981,165,48,137,26,155,15,15,14.1,15.1,16.1,M1175545925L,39101,2593,-42.76,1.73,14.81,1.18,M1147289388R,-16.65,-1.23,12.94,1.2,M188378781L,20.43,-0.91,10.77,1.27,"M135324446L,M135317661L",,M157730473R,,"Linear pit running NNW-SSE.  There are two wide sections: a shallow one in the north that may be drivable, and a deep one in the south, with a narrow (5m wide) section joining them.  Depths are for the southern opening.  There's a line of shallow depressions starting ~75m NW and trending away to the NW, and a <5m pit-like dark spot ~150m SW.",Y?,?,N?,N,Y,N,N,N,N,Y,N
Copernicus 19a,Impact Melt,,Copernicus,10.1326,-20.3948,339.6052,57,51,11,3,32,>15,15,>17.8,>8.9,>5.1,M1147289388R,25610,2869,-16.57,-1.41,12.94,1.19,M188378781L,20.36,-1.04,10.77,1.27,M1175545925L,-42.74,1.53,14.81,1.18,"M135324446L,M135317661L",,,,"Larger of two pits adjoining a probable bridge.  Both pits are very narrow, and at the bottom of a fairly deep (~12m) funnel.  No floor is visible.  No unambiguously non-impact-caused depressions nearby.",N,?,Y,N,N,N,N?,N?,N,N,N
Copernicus 19b,Impact Melt,,Copernicus,10.1329,-20.3945,339.6055,57,51,7,4,32,>15,15,>14.1,>8.4,>3.4,M1147289388R,25634,2874,-16.57,-1.42,12.94,1.19,M188378781L,20.36,-1.05,10.77,1.27,M1175545925L,-42.74,1.52,14.81,1.18,"M135324446L,M135317661L",,,,Smaller of two pits adjoining a probable bridge.,N,?,Y,N,N,N,N?,N?,N,N,N
Copernicus 20,Impact Melt,,Copernicus,10.3522,-20.2649,339.7351,N/A,48,95,31,50,14,14,14.9,13.2,13,M173049982L,51051,4523,20.86,-0.57,10.84,0.47,M1136683665R,40.09,1.44,9.41,1.15,M1190842495L,-42.32,0.94,14.72,0.96,"M1106059896R,M1106045604L",,,See description for dimension details.  Depths are to rectangular section near large block; narrow crevice may be deeper.,"Long pit at the SW end of a linear depression/collapse that runs parallel to the base of a PRF.  Consists of two parts: A rectangular section in the SW (~40x25m), and a narrow crevice running from the N corner NE along the N edge of the linear depression (~53x7m). There is a large (~18m) block at the NE end of the floor of the rectangular section that appears to have broken off of the SE wall intact. There is a shallower linear depression running parallel ~75m NW.",N,?,N,N,Y,N,Y,Y,N,N,N
Copernicus 21,Impact Melt,Uncertain,Copernicus,10.1943,-20.153,339.847,150,60,44,17,105,15,15,15.2,15.3,13.7,M155369774L,38727,4738,-9.7,0.42,12.29,0.43,M1136683665L,39.94,-0.27,9.42,1.15,M1175545925R,-42.98,-2.18,14.83,1.18,"M153014813R,M153008029R",,,Depth 1 is extremely high-Sun,"Irregular pit/canyon at the E end of a linear depression.  There are vertical walls on the N and S sides, with open slopes to the surface on E and W (W slope is into the linear depression, E slope is into a small circular depression).  No other pits in the immediate area, but Copernicus 13 is ~650m ESE.",Y,N?,N,N,Y,N,Y,Y,N,N,N
Copernicus 22,Impact Melt,,Copernicus,10.2095,-20.1127,339.8873,29,11,17,3,75,>11,11,>11.7,>3,>10.5,M155369774R,39471,2631,-9.73,-1.22,12.29,0.43,M1188488085R,-68.59,-1.03,16.53,0.95,M1103695396R,17.44,0.69,11.12,1.21,"M165978380L,M165971594L",,,"Funnel only includes the immediately adjacent slopes in, not the broader shallow depression this pit is in.","Linear/irregular pit at the E end of a set of broad shallow circular depressions.  Extremely narrow- no clear view of the floor, although it might be visible in the M16597â€¦ stereo pair, and possibly M1188488085R.  Hints of a linear depression running E of the pit, passing just south of a mound.  Copernicus 23 is ~300m E.",N,?,N?,N,Y,N,N,Y,N?,Y,N
Copernicus 23,Impact Melt,,Copernicus,10.2067,-20.1022,339.8978,118,45,9,6,125,9,9,8.2,8,9.4,M155369774R,39305,3365,-9.74,-1.65,12.29,0.43,M1177898186L,-16.14,1.85,12.9,1.18,M109365462R,12.06,2.48,11.81,0.52,"M165978380L,M165971594R",,"M124701702L, M124708491R, M153008029R",All images are VERY high Sun.,"Small linear pit at the NW end of a larger elliptical depression.  Exact bounds are hard to determine, as the south end is a very dark material (possibly a slope to inner floor?), and there are some small, very deep depressions just north of the inner pit.  On the S end of a ~100m wide mound.  Copernicus 14 is ~400m N, Copernicus 13 is ~1km SW, Copernicus X in ~300m W.  Roughly in line with a large linear depression that starts ~1km SE.",Y,?,N?,N,Y,Y,Y,Y,N?,N,N
Copernicus 24,Impact Melt,,Copernicus,10.181,-19.5186,340.4814,130,70,85,52,145,16,16,15.3,19.5,13.3,M1127256342R,14058,2114,-70.17,-0.95,16.64,1.14,M1147282262L,-16.49,1.7,12.94,1.19,M1169650726L,66.93,-2.94,7.56,1.1,"M1206153124R,M1206139057R",,,"Depths are to (in order): Eastern floor, just below two large rocks; Immediately adjacent to the west wall (very high Sun); Center of floor, shadow line running just barely between the two aforementioned large rocks (possibly hitting them).","Semicircular round-bottomed pit, with hints of a linear depression in line with the long axis of the pit.  NW wall is a slope from rim to floor.  Unclear if floor is concave on all sides, or sloped down towards the E wall (that section is in shadow in the stereo images). Many large blocks on the floor.  There is a mound ~200m W, and a suspiciously deep depression (collapse?) ~100m SE along the possible linear depression.",Y,N?,N?,N,N,N,N,N,N,N,N
Copernicus LB2,Impact Melt,Large Bowl,Copernicus,10.0588,-20.1962,339.8038,355,325,305,260,140,65,65,65,,,M1188488085L,22520,4336,-68.49,0.66,16.52,0.95,,,,,,,,,,,"M153014813L,M153008029L",,,M1188488085L is the only non-slewed image with a shadow falling at the deepest point of the pit.,"Elliptical pit with very rounded floor (vertical walls are only ~15-20m high).  Numerous 3-20m boulders in the interior, and there are several places where a slope runs from rim to center. No other features of note in the immediate area.",Y,?,N,N,N,N,N,N,N,N,N
Copernicus LB3,Impact Melt,Large Bowl,Copernicus,10.0954,-20.0769,339.9231,430,330,385,315,60,66,66,66,65,>55,M1188488085R,21663,3249,-68.61,-1.62,16.53,0.95,M1142574974L,-70.97,2.34,16.73,1.19,M102286291L,-76.82,2.86,17.11,1.25,"M1106059896L,M1106045604L",,,,"Elliptical pit with very rounded floor (vertical walls are <20m high).  Floor is very clear compared to the other Copernicus S_ pits, with most boulders confined to a wedge coming down from the N wall.  Drive-in accessibility is limited to a few points along the NE rim, and one gap in the SW rim.",Y,?,N,N,Y,N,Y,N?,N,Y,N
Copernicus LB4,Impact Melt,Large Bowl,Copernicus,10.2041,-20.0015,339.9985,375,340,320,275,65,78,78,79,77,>69,M1139037292R,11562,4147,67.12,2.18,7.55,1.15,M1142574974L,-71.04,1.23,16.73,1.19,M193089462R,72.67,2.59,7.18,1.26,"M1213214112R,M1213200044R",,"M1103695396L, M168333206L",,"Elliptical pit with very rounded floor, and taller walls than most of the other Copernicus S_ pits (vertical walls are up to 35m high). This pit was previously identified as ""Copernicus 15"".  Floor has numerous 5-20m boulders. Possible traversable slope at two points (NW rim and NNE rim), but paths may be blocked by boulders.  Rim is mostly unbroken.  There is a narrow slope down towards the rim on the SE side, reminiscent of a Type-I APC (Cushing et al. 2015), but slews do not reveal any openings above the current floor-level.",N?,N,N,N?,Y,N,N,N,N,N,N
Copernicus LB5,Impact Melt,Large Bowl,Copernicus,10.2349,-20.3101,339.6899,290,230,270,220,10,50,50,50,,,M1188488085L,16849,1019,-68.4,2.67,16.52,0.96,,,,,,,,,,,"M135324446R,M135317661R",,"M1136683665R, M1190842495L",M1188488085L is the only non-slewed image with a shadow falling near the deepest point of the pit (~20m E of deepest point).,"Elliptical pit with very rounded floor (vertical walls <20m high).  Interior mostly only has boulders on the W side, and there is one break in the rim with a slope to the floor on the NW side. Slewed images show no overhangs.  There are two PRFs near the rim",Y,N,N,N,N,N,Y,N,N,N,N
Copernicus LB6,Impact Melt,Large Bowl,Copernicus,10.3127,-20.2737,339.7263,290,260,250,225,175,64,64,64,,,M1188488085L,14451,2236,-68.44,1.92,16.52,0.96,,,,,,,,,,,"M1106059896R,M1106045604L",,M1175545925R,M1188488085L is the only non-slewed image with a shadow falling near the deepest point of the pit.,"Elliptical pit with very rounded floor. Smaller and more degraded-looking than the other Copernicus S_ pits, with only the SW wall being more than a couple meters high (it is ~m tall).  Interior mostly only has boulders on the W side, and there is one break in the rim with a slope to the floor on the NW side. Slewed image mostly precludes overhangs, although there is an ambiguous darker pixel in M193025138R at the base of the SW wall.",Y,N?,N,N,N,N,N,N,N,N,N
Crookes 1,Impact Melt,,Crookes,-10.2424,-165.2464,194.7536,259,77,213,67,70,17,17,20.5,14.7,15.8,M110316458R,12322,1076,16.33,-8.52,11.07,0.59,M1119966613L,28.48,-0.53,10.24,0.93,M1099931168R,-31.04,-1.14,14,1,"M1214163158R,M1214149094L",,M176353098R ,"All depths are of eastern section.  Central section is >10m deep (M1097573241L), and western section is ~18m deep (M110316458R)","A complicated and very large pit.  There are three main sections: The east end is the deepest part, and does not have any slopes leading into it.  It is separated from the central section by a jumble of 10-15m boulders.  The central section is wide (70m across) and round-bottomed, and the south wall is a smooth slope to the floor.  The western section is a narrow (50x17m) canyon, barely opening into  the central section, and with a smooth slope from the west end down to the floor.  There are deep fracture systems to the north and south, and some depressions/collapses past the east end.",Y?,?,N,Y,Y,N,N,N,Y,Y,N?
Crookes 2,Impact Melt,,Crookes,-10.1275,-165.2554,194.7446,N/A,20,18,11,45,10,10,8.9,10.6,9.5,M1119966613L,38120,4903,28.44,-0.31,10.24,0.93,M1150591312L,27.39,-2.22,10.31,1.02,M1099931168R,-31,-1.01,14,1,"M1214163158R,M1214149094R",,,,"A rectangular pit with a relatively enormous boulder filling ~80% of it.  The boulder is roughly round, and stretches from NW wall to SE wall.  The SW wall is a gentle slope that leads into a ~60x30m depression, and the SE wall may also be a slope. No floor visible, depths are from SW slope near boulder. In line with fractures 125 and 250 m to the SW, and there's another fracture/depression string ~100m north.",Y,?,N,Y,Y,N,N?,Y,N,N,Y
Crookes 3,Impact Melt,,Crookes,-10.0749,-165.2663,194.7337,17,17,6,6,115,>9,9,>8.1,>8.5,>10.7,M1119966613R,40218,325,28.43,-0.11,10.24,0.93,M1150591312L,27.38,-2,10.31,1.02,M1099931168R,-30.98,-0.83,14,1,"M1214163158R,M1214149094R",,M1183552745R ,,"Round pit, much deeper in the south than the north (possibly a large funnel, possibly a shelf).  Sizes assume that it is a large funnel.  There's a larger depression/cliff 70m to the east, and a tiny (~2m diameter) dark spot that is likely a tiny pit/depression 15m to the west.",N,?,N,N,Y,N,N,N,N,N,N
Crookes 4,Impact Melt,,Crookes,-10.2294,-165.2209,194.7791,84,41,15,12,50,>25,25,>20,>25,>24,M1135276569R,47996,3549,24.21,1.81,10.5,0.99,M1150591312L,27.4,-2.89,10.31,1.02,M1191791679L,-31.37,2.97,14.02,0.88,"M176359843R,M176353098R",,,,"Round/irregular pit in a ~100m long fracture.  No floor visible, but depths 1 and 2 might be to top of a boulder on the floor.  A series of broad, shallow depressions runs off to the WSW.  Crookes 11a is ~190m S.",N,?,Y,N,Y,N,N,N,N,Y,Y?
Crookes 5a,Impact Melt,,Crookes,-10.6859,-165.1391,194.8609,32,30,22,22,20,10,10,12,9.8,8.5,M1119966613L,16898,789,28.54,-2.79,10.25,0.93,M1183552745R,55.13,0.71,8.37,1.01,M1189437272L,-57.72,2.38,15.83,0.87,"M176359843L,M176353098L",,,,"Largest pit in a cluster of 3-7 pits in and around a set of three PRFs.  This one is a round pit in a saddle between the southern two PRFs.  Th south wall is a slope from rim to floor.  Crookes 5b is ~80m N in the E flank of one of those PRFs.  Crookes 5c is the larger (eastern) collapse in another PRF, ~80m east of Crookes 5b.  There is a shallow collapse adjacent to Crookes 5c to the west.  Crookes 5d is a tiny pit ~30m east of Crookes 5b, in a valley between the 5b PRF and the 5c PRF.  There are two or three collapses, one of which might qualify as a very shallow pit, ~75m to the west of Crookes 5a.  ",Y,?,Y,N,Y,Y,Y,N,N,N,N
Crookes 5b,Impact Melt,,Crookes,-10.6825,-165.1388,194.8612,25,23,N/A,5,15,12,12,11.4,11.7,11.8,M1191791679L,40925,2669,-31.57,1.65,14.03,0.87,M105593830R,-40.51,-0.11,14.64,1.03,M1117608455L,-12.03,2.57,12.08,0.94,"M176359843L,M176353098L",,,All depths are from W rim.  Depth from E rim is ~6m (M1183552745R),"Collapse in the E flank of a PRF.  Mostly funnel/steep walls- I'm not entirely certain it has a ""floor"" as such.  The E wall seems to be a slope from rim to W walls.",Y?,?,Y,N,Y,Y,N,N,Y,N,N
Crookes 5c,Impact Melt,,Crookes,-10.6824,-165.1354,194.8646,46,38,45,34,25,9,9,8.9,8.8,10,M1191791679L,40920,2793,-31.57,1.58,14.03,0.87,M105593830R,-40.51,-0.16,14.64,1.03,M1189437272L,-57.72,2.3,15.83,0.87,"M176359843L,M176353098L",,,,"Wide collapse in the E side of a PRF, mostly filled with the semi-coherent remains of the former roof (shattered into 1-2m boulders, but there are still sections that look like they fell together).  The E side is a smooth slope to the surrounding surface- no rim.  ~10m to the W, across a strip of untouched ground, is another collapse.  The arrangement is similar to the various not-bridges in King crater, and I cannot rule out the uncollapsed section being hollow (stereo image hints at a 1-2m overhang), but the rock pile on the W side of the ""bridge-like"" section appears solid.",Y,Y?,Y,N,Y,N,Y,N,Y,N,N
Crookes 5d,Impact Melt,,Crookes,-10.6824,-165.1374,194.8626,6,6,4,4,135,10,10,9.9,>7.3,>8.3,M1117608455L,23860,1204,-12.03,2.54,12.08,0.94,M1119966613L,28.54,-2.82,10.25,0.93,M1191791679L,-31.57,1.62,14.03,0.87,"M176359843L,M176353098L",,,,"Tiny circular pit in the valley between two PRFs.  Floor is visible only in ultra-high-Sun image M1117608455L, 12 degrees incidence.",N,?,Y,N,Y,Y,N,N,Y,N,N
Crookes 6,Impact Melt,,Crookes,-10.0854,-165.1298,194.8702,28,20,17,9,30,21,21,>11.9,20.8,>11.5,M169283456L,41462,1549,-27.26,2.27,13.73,0.43,M1117608455L,-11.44,2.62,12.08,0.95,M1191791679L,-31.43,0.98,14.03,0.88,"M176359843L,M176353098L",,,"All measurements are from the W rim.  Only Depth 2 is clearly to the floor, but at extremely high Sun (11 degrees) (measure point is at south end of E wall, same place as other depths.  Alternate measure at north end is 10m deep)","Diamond-shaped pit in the NW side of a NNE-SSW trending ridge (part of a set of at least three such ridges, spaced at ~150m intervals).  There is a ~8m boulder filling the NE half of the pit, complicating shadow measurements.  No other pits in the area, but there's a possible collapse-caused depression ~35m ESE at the top of the ridge.",N,?,N,N,N?,Y,N,Y,N,N,N
Crookes 7,Impact Melt,,Crookes,-10.5592,-165.177,194.823,23,23,20,19,55,8,8,8.6,6.6,8.2,M1099931168R,33900,4382,-31.18,-2.31,14,1,M1097573241R,-57.04,-0.24,15.78,1,M184611296L,-28.31,2.78,13.71,1,"M176359843R,M176353098L",,,All measurements are from W rim.  Depth from E wall measure in M1119966613L is ~23m.,"Round pit in the SW flank of a blocky rise.  Appears to have somewhat rounded floor, with only one or two ~1m boulders.  Pit is in shadow in full stereo pair, but higher-Sun slewed image shows no overhang on W wall.  E wall (under the rise) is never seen.  E rim is ~12m higher than W rim above floor.  No other collapses in the area.",N,?,N,N,N,Y,N,N,N,N,N
