Name,Terrain,Type,Host Feature,Latitude,Longitude_180,Longitude_360,Funnel Max Diam,Funnel Min Diam,Inner Max Diam,Inner Min Diam,Azimuth,Depth,Depth_Num,Depth1,Depth2,Depth3,Image 1,Image 1 Line,Image 1 Sample,Inc 1,Em 1,Time 1,Res 1,Image 2,Inc 2,Em 2,Time 2,Res 2,Image 3,Inc 3,Em 3,Time 3,Res 3,Stereo IDs,DTM,Other Useful Images,Warnings,Description,Entrance Ramp?,Overhangs?,Nearby Pits?,Nearby Fractures?,Nearby Depressions?,In Dome?,Beside Dome?,In Depression?,Colinear Pits?,Colinear depressions?,Colinear Fractures?
King 14,Impact Melt,,King,6.2784,119.7635,119.7635,94,49,48,38,20,14,14,12.3,15,16,M113168034R,32261,1108,47.46,0.33,8.87,0.62,M106088433L,-35.11,1.15,14.29,1.29,M182745931L,-48.26,2.11,15.21,1.27,"M143839277L,M143832493L",NAC_DTM_KINGCRATER3,,,"Diamond-shaped pit in a set of N-S trending fractures and sets of tiny pits joined by depressions.  This pit is in the easternmost linear feature of the set, one of the aforementioned set-of-tiny-pits-joined-by-depressions, and has a ~30m-wide depression at the S end.  Smooth floor with only a few >50cm rocks (possibly sloping down towards the center slightly?), no entrance ramps, although there are ~20m boulders at the N and S ends.  Definite few-meter overhang under the W rim (M143832493L).  No collapse features in the area other than the fracture/pit chains.",N,Y,Y?,Y,Y,N,N,Y?,Y,Y,Y
King 15a,Impact Melt,,King,6.4782,119.7847,119.7847,19,15,13,9,100,4,4,3.4,4,5.5,M113168034L,23069,4942,47.46,-0.3,8.87,0.62,M1135766659R,28.94,0.33,10.13,1.17,M141478563R,14.22,1.66,11.21,0.61,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,,"Western of a triplet of pits in a PRF.  This pit is at the W edge of the PRF, and the SW rim is a ramp to the floor.  King 15b is 9m E, separated from King 15a by two ~2m-wide ridges and an uncatalogued ~6x3x3m pit/collapse.  No indications of a bridge-type connection between any of the pits.  Other collapse features in the area are a sinuous collection of <5m probably pits joined by depressions ~75m WSW, a small collapse in the S side of the PRF ~40m SE, and sub-5m pits ~100m SE and ~110m SSW.",Y,N?,Y,Y,Y,Y,Y,N,Y,Y?,N
King 15b,Impact Melt,,King,6.4781,119.7853,119.7853,15,13,12,7,60,3,3,4.4,2.2,3.4,M113168034L,23071,4909,47.46,-0.31,8.87,0.62,M1135766659R,28.94,0.32,10.13,1.17,M182745931L,-48.3,1.86,15.21,1.27,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,,"Eastern of a triplet of pits in a PRF.  Near the middle of the PRF, no apparent entrance ramps, floor seems to be rough, although no visible boulders at 50cm/px.",N,N?,Y,Y,Y,Y,N,N,Y,Y?,N
King 16,Impact Melt,Fracture,King,6.3643,119.9304,119.9304,57,42,47,29,160,16,16,18.9,15.1,14.1,M182745931R,22557,1032,-48.43,-0.3,15.22,1.27,M1120456952R,32.29,2.02,9.88,1.17,M106088433R,-35.29,-1.25,14.31,1.29,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M141478563L, M108447638R",,"Elliptical pit at the N end of a ~200m long fracture/depression.  There is a small (~6m diameter) much shallower pit ~115m SW along the fracture.  The floor is flat, with a scattering of 1-5m boulders.  The E and W walls appear to be solid down to the floor, with the SE wall having two ledges on the way down.  There is a bit of shadowing at the base of the W wall that hints at a down-slope towards the wall.  King 38 is ~200m NW, roughly in line with the fracture SE of this pit.",N,N?,Y,Y,Y,N,N,N,Y,Y,Y
King 17,Impact Melt,,King,6.6252,119.9847,119.9847,14,10,10,7,105,5,5,4.7,4.8,4.9,M1120456952R,36545,2699,32.28,1.31,9.88,1.17,M1131053889R,-27.68,-0.09,13.77,1.17,M106088433R,-35.39,-2.03,14.31,1.29,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Round pit in fairly flat terrain.  Floor has a couple of boulders on W side; no ramps to surface.  King 18 is ~140m ESE, and King 39 is ~170m N.  There are a few other tiny pit-like features in the area.",N,?,Y,Y,Y,N,N,N,N,N,N
King 18,Impact Melt,,King,6.6235,119.9894,119.9894,19,18,14,12,160,7,7,9.5,7.5,4.9,M1120456952R,36488,2580,32.27,1.24,9.88,1.17,M106088433R,-35.4,-2.09,14.31,1.29,M182745931R,-48.51,-1.06,15.22,1.27,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,"Depths 2 and 3 are from W wall, Depth 1 is from E.","Round/rectangular pit on the SW side of a very subtle (~2-3m?) ~70m-wide rise; N and E walls are significantly taller than S.  The floor appears to slope up towards the S rim, and may form a traversable ramp.  A fracture/linear depression starts ~20m S and runs ~130m SSE.  King 17 is ~140m WNW, and there are several other <5m pit/collapse-looking features in the area.",Y?,?,Y,Y,Y,N,Y?,N,N,N,Y
King 19,Impact Melt,,King,6.5931,119.9861,119.9861,17,15,13,11,45,4,4,3.3,4.5,4.4,M1138120053R,13577,4711,56.38,2.53,8.26,1.18,M1131053889R,-27.67,-0.1,13.77,1.17,M182745931R,-48.5,-1.02,15.22,1.27,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Round pit in the NE flank of a PRF.  Floor appears flat, and high-resolution stereo indicates some degree of overhang under the W rim (towards the center of the PRF).  There are several other collapses in the PRF: A narrow arcuate one 16m NNW, a wide collapse with a possible overhang at the N end 24m SSE, and a small indentation/pit 23m SSW.  There are a handful of small pit-looking features in the area, including a semi-circular set of 1-3m pits/collapses (cluster diameter ~20m) ~300m N.",N,Y,Y,N,Y,Y,N,N,Y,N,N
King 20a,Impact Melt,,King,6.5098,119.9269,119.9269,29,29,22,12,140,12,12,11.5,14,9.5,M1131053889L,22492,3900,-27.59,0.93,13.76,1.17,M1181692437R,32.25,-0.15,9.89,1.23,M141478563L,14.12,-2.48,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",,Southernmost and largest of a cluster of pits and other apparent collapse features.  Pits are lettered from south to north (see individual entries for details).  This pit is in the NW flank of a PRF. Additional features in the area are a shallow collapse at the E base of PRF containing 20a and 20b; a small shallow pit/fracture just S of 20a; a narrow collapse due E of 20d and due N of 20b; and a scattering of ~5m pits to the N and S.,N,?,Y,Y,Y,Y,N,N,Y,Y,Y
King 20b,Impact Melt,,King,6.5108,119.9289,119.9289,29,24,23,23,180,4,4,5.4,2.7,4,M1131053889L,22460,3954,-27.59,0.89,13.76,1.17,M1181692437R,32.25,-0.17,9.89,1.23,M141478563L,14.12,-2.54,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",,"Triangular pit NNE base of PRF, 50m ENE of 20a.",Y,?,Y,Y,Y,N,Y,N,Y,Y,Y
King 20c,Impact Melt,Fracture,King,6.513,119.9269,119.9269,34,19,14,3,35,>6,6,>2.5,>4,>8,M1131053889L,22368,3902,-27.59,0.92,13.76,1.17,M1181692437R,32.25,-0.15,9.89,1.23,M141478563L,14.12,-2.48,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",,Fracture/pit in 50m long depression 85m due north of 20a.,N,?,Y,Y,Y,N,N,N,Y,Y,Y
